"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg" "erkely"
"1" "43" "47" "2" " 11. kerület, Lágymányos – Muegyetem környéke " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "33.6" "46" "1" " 14. kerület, Füredi park " "felújított" NA "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" "részt vett" NA NA
"3" "31.2" "33" "1" " 11. kerület, Kelenföld " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA NA
"4" "450" "200" "4" " 2. kerület, Hankóczy Jeno utca " "újszeru" "2001-2010 között" "luxus" "EE" "3" "3" "van" "3 m-nél alacsonyabb" "fan-coil" "nem" "külön és egyben is" "délkelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - benne van az árban" "van" NA "150 000 Ft/hó" "100 m²"
"5" "45" "69" "2" " 3. kerület, Pacsirtamezo utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "30 000 Ft/hó" "3 m²"
"6" "28.9" "24" "1" " 13. kerület, Visegrádi utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"7" "29.9" "34" "1" " 7. kerület, Dob utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "61.9" "64" "3" " 11. kerület, Thallóczy Lajos utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "kelet" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA "14 m²"
"9" "34.9" "49" "2" " 14. kerület, Füredi utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "van" "részt vett" "26 500 Ft/hó" "3 m²"
"10" "29.9" "33" "1" " 11. kerület, Etele út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "nincs megadva" NA NA
"11" "28" "46" "1" " 14. kerület, Szentmihályi út " "közepes állapotú" NA "nincs megadva" "nincs megadva" "3" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA "nincs megadva" NA NA
"12" "46" "68" "2" " 6. kerület, Külso-Terézváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"13" "89.95" "98" "3" " 3. kerület, Montevideo utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "4 m²"
