"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "26.4" "55" "2" " 4. kerület, Újpesti lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "8 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"2" "74.9" "106" "4" " 13. kerület, Szabolcs utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "21 000 Ft/hó" NA NA
"3" "29.9" "68" "2" " 10. kerület, Kobánya – Óhegyi lakótelep " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"4" "24.9" "50" "2" " 10. kerület, Kobánya – Újhegyi lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" NA "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA "részt vett" NA
"5" "56" "80" "1" " 22. kerület, Fenyotoboz utca " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "van" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"6" "240" "182" "4" " 12. kerület, Béla király út " "felújított" "2001-2010 között" "duplakomfortos" "nincs megadva" "2" "2" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nem" "külön és egyben is" "nincs megadva" "panorámás" "64 m²" "igen" "nem tetotéri" "teremgarázs hely - benne van az árban" NA NA NA
"7" "70.99" "83" "4" " 11. kerület, Villányi út " "újszeru" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délkelet" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"8" "73" "123" "3" " 9. kerület, Középso-Ferencváros – Malmok " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"9" "27.9" "53" "2" " 8. kerület, Vajda Péter utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" NA "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
"10" "25.9" "71" "3" " 15. kerület, Újpalota " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "részt vett" NA
