"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "panelprogram"
"1" "34.9" "33" "1" " 11. kerület, Hegyalja út " "felújított" "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "2 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA
"2" "29.7" "31" "1" " 9. kerület, Angyal utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "elektromos, gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "északkelet" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" "25 000 Ft/hó" NA
"3" "27.9" "44" "1" " 14. kerület, Nagy Lajos király útja 132. " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "6 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "9 900 Ft/hó" NA
"4" "61" "86" "3" " 14. kerület, Cházár András utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"5" "99" "97" "3" " 1. kerület, Batthyány utca " "újszeru" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"6" "57.4" "61" "2" " 2. kerület, Medve utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "nyugat" "nincs megadva" "4 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "1950-1980 között" "14 000 Ft/hó" NA
"7" "79.9" "87" "2" " 8. kerület, József körút 8. " "felújított" "nincs megadva" "nincs megadva" "1" "4" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "9 000 Ft/hó" NA
"8" "29" "50" "2" " 3. kerület, Szentendrei út 12. " "jó állapotú" "összkomfortos" "D" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "igen" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "7 500 Ft/hó" "nem vett részt"
"9" "27" "30" "1" " 7. kerület, Dembinszky utca 41. " "jó állapotú" "összkomfortos" "F" "3" "5" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "25 000 Ft/hó" NA
"10" "37.5" "51" "2" " 3. kerület, Viador utca " "felújított" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" NA "nincs megadva" NA NA NA
"11" "38" "54" "2" " 10. kerület, Ülloi út 134. " "felújított" "nincs megadva" "nincs megadva" "2" "6" "van" "nincs megadva" "távfutés" "van" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"12" "22.5" "19" "1" " 8. kerület, József körút " "jó állapotú" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA
"13" "73" "92" "3" " 12. kerület, Breznó lépcso " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gázkazán" "nincs" "nem" "egy helyiségben" "nincs megadva" "udvari" "8 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" NA NA
"14" "51" "79" "2" " 11. kerület, Bartók Béla út 132. " "jó állapotú" "duplakomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "északkelet" "utcai" "1 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" NA NA
"15" "34.5" "58" "2" " 22. kerület, Fáy Ferenc utca " "újszeru" "összkomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "van" "nem" "egy helyiségben" "nincs megadva" "udvari" "6 m²" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "2001-2010 között" "35 000 Ft/hó" NA
"16" "73.5" "97" "3" " 11. kerület, Bartók Béla út " "jó állapotú" "összkomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "gáz (cirko)" "van" "nem" "külön és egyben is" "nincs megadva" "panorámás" NA "nem" "tetotéri" "utca, közterület" "1950 elott" NA NA
"17" "39.9" "49" "1" " 11. kerület, Bocskai út 75. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "18 Ft/hó" NA
"18" "56.9" "77" "3" " 12. kerület, Táltos utca " "nincs megadva" "nincs megadva" "nincs megadva" "1" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"19" "31.2" "41" "1" " 9. kerület, Mester utca 57. " "felújított" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "elektromos" "nincs" "nem" "egy helyiségben" "nyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA
"20" "69.9" "82" "3" " 19. kerület, Kós Károly tér " "felújított" "luxus" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "délkelet" "utcai" "5 m²" "nem" "nem tetotéri" "önálló garázs - benne van az árban" "1950 elott" NA NA
