"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely"
"1" "58.5" "78" "2" " 6. kerület, Eötvös utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "23 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA
"2" "39" "48" "1" " 2. kerület, Törökvész " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "nincs megadva" "4 m²"
"3" "79.9" "94" "3" " 1. kerület, Víziváros – Váralja " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "házközponti" NA NA "nincs megadva" "külön helyiségben" "északkelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1 m²"
"4" "23.9" "38" "1" " 20. kerület, Tátra tér " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nincs megadva" "utca, közterület" NA
"5" "36.5" "40" "1" " 6. kerület, Külso-Terézváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA
"6" "42" "48" "1" " 2. kerület, Törökvész " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "3" "nincs" "nincs megadva" "házközponti egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²"
"7" "49.9" "45" "1" " 13. kerület, Kucsma utca 1. " "nincs megadva" "2017" "luxus" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti" NA NA "igen" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "teremgarázs hely - benne van az árban" "20 m²"
"8" "75" "62" "2" " 3. kerület, Rómaifürdo " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "kelet" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely" "11 m²"
"9" "41.9" "54" "2" " 13. kerület, Szent László út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nem" "nincs megadva" "nyugat" "kertre nézo" "nem" "tetotéri" "utca, közterület" NA
"10" "41.8" "38" "1" " 5. kerület, Kálmán Imre utca " "felújított" "2018" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "nincs" "8 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" "utca, közterület" NA
"11" "36.5" "40" "1" " 6. kerület, Külso-Terézváros " "nincs megadva" "1950 elott" "komfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "12 000 Ft/hó" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nem" "nincs megadva" "utca, közterület" NA
