"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "35" "44" "2" " 13. kerület, Újlipótvárosi lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "nincs megadva" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"2" "48.49" "60" "2" " 3. kerület, Árpád fejedelem útja " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "1 m²" NA NA NA NA
"3" "64.5" "67" "2" " 6. kerület, Nagymezo utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "van" "30 000 Ft/hó" NA NA
"4" "42.9" "54" "2" " 11. kerület, Fehérvári út " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "5 m²" NA NA NA NA
"5" "51.5" "59" "2" " 7. kerület, Százház utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "4 m²" NA NA NA NA
"6" "73.9" "117" "4" " 2. kerület, Lublói utca " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1 m²" NA NA NA NA
"7" "33.9" "41" "1" " 14. kerület, Alsórákos " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "igen" "nincs megadva" "nincs megadva" "6.5 m²" NA NA NA NA
"8" "44.5" "38" "2" " 13. kerület, Turóc utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "6 m²" "van" NA "4 M Ft" NA
"9" "47.99" "43" "2" " 13. kerület, Meder utca " "új építésu" "2019" "összkomfortos" "AA" "5" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "9.21 m²" "nincs" NA "4.5 M Ft" NA
"10" "28.99" "68" "3" " 15. kerület, Zsókavár utca 62. " "jó állapotú" NA "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "2 m²" "nincs" NA NA "nincs megadva"
"11" "37.9" "45" "1" " 8. kerület, Jázmin utca 16B " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "van" NA NA NA
"12" "22.5" "35" "1" " 21. kerület, Csepel-Királymajor " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA NA "nem vett részt"
"13" "49.9" "58" "2" " 7. kerület, Erzsébet körút " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "fan-coil, gáz (konvektor)" "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" "25 000 Ft/hó" NA NA
"14" "51.5" "59" "3" " 7. kerület, Külso-Erzsébetváros " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "3" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA NA NA
"15" "37.9" "50" "2" " 11. kerület, Kisköre utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "3 m²" NA NA NA NA
"16" "39.9" "54" "1" " 11. kerület, Albertfalva " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "3 m²" NA NA NA NA
"17" "25.5" "64" "2" " 15. kerület, Korakás park " "felújítandó" NA "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" NA NA NA "nincs megadva"
"18" "44.9" "60" "3" " 9. kerület, Bakáts tér " "közepes állapotú" NA "nincs megadva" "nincs megadva" "félemelet" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"19" "55" "70" "2" " 2. kerület, Zivatar utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "16 000 Ft/hó" NA NA
"20" "64.9" "75" "2" " 6. kerület, Király utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" NA NA NA NA
