"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "legkondicionalo" "panelprogram"
"1" "44.9" "64" "2" " 9. kerület, Ülloi út " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "35.8" "35" "1" " 11. kerület, Fehérvári út " "nincs megadva" "2021" "összkomfortos" "nincs megadva" "4" "8" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "igen" "egy helyiségben" "dél" "nincs megadva" NA "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "3.5 M Ft" NA NA NA
"3" "52.99" "80" "3" " 9. kerület, Liliom utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "51.49" "121" "3" " 10. kerület, Ligettelek " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "igen" "nincs megadva" "udvari beálló - benne van az árban" NA "13 000 Ft/hó" NA NA
"5" "106.49" "94" "3" " 5. kerület, Szent István körút " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület" NA NA "nincs" NA
"6" "99" "90" "4" " 6. kerület, Podmaniczky utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "34.9" "67" "3" " 14. kerület, Szentmihályi út " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "részt vett"
"8" "28.8" "43" "2" " 4. kerület, Újpest " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "1.3 M Ft" NA NA NA
"9" "35" "52" "2" " 14. kerület, Alsórákos " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "7" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "egy helyiségben" "kelet" "udvari" "6 m²" "nem" NA "utca, közterület - ingyenes" NA "33 000 Ft/hó" "nincs" NA
"10" "62.5" "97" "5" " 14. kerület, Kerepesi út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" NA "nincs megadva" "tetotéri" "nincs megadva" NA NA "van" NA
"11" "56.9" "87" "3" " 8. kerület, Bíró Lajos utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "kelet" "udvari" NA "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA "40 000 Ft/hó" NA NA
"12" "37.69" "73" "3" " 18. kerület, Halomi út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "12 m²" "nem" NA "utca, közterület - ingyenes" NA NA "nincs" NA
"13" "49.2" "73" "2" " 6. kerület, Szondi utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"14" "149" "113" "3" " 2. kerület, Kurucles " "újszeru" "2012" "luxus" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), mennyezeti hutés-futés" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "46 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - benne van az árban" NA "30 000 Ft/hó" "nincs" NA
"15" "58.39" "83" "2" " 14. kerület, Kiszugló " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "nincs megadva" "igen" "külön helyiségben" "nincs megadva" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" NA
"16" "23.9" "30" "1" " 7. kerület, Alsó erdosor " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "délkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"17" "29.3" "46" "2" " 14. kerület, Alsórákos – Füredi utcai lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "van" "részt vett"
"18" "53.5" "51" "3" " 1. kerület, Víziváros – Váralja " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"19" "58.4" "83" "2" " 14. kerület, Róna utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "nincs" "3 m vagy magasabb" "gáz (cirko), padlófutés" "nem" "külön helyiségben" "nyugat" "utcai" "5 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs" NA
"20" "36" "56" "3" " 15. kerület, Szilas park " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
