"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "69.87" "82" "3" " 11. kerület, Péterhegy " "új építésu" "2019" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "15 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"2" "75.4" "67" "3" " 3. kerület, Csillaghegy " "újszeru" "2014" "duplakomfortos" "nincs megadva" "2" "3" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "panorámás" "20 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"3" "69.8" "84" "3" " 13. kerület, Angyalföld " "újszeru" "2020" "nincs megadva" "nincs megadva" "nincs megadva" "5" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "15.65 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "32.2" "68" "2" " 14. kerület, Semsey Andor utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"5" "26.9" "40" "2" " 7. kerület, István utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" "nincs" "20 000 Ft/hó" NA
"6" "24.9" "26" "1" " 14. kerület, Egressy út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "22 000 Ft/hó" NA
"7" "33.9" "66" "3" " 3. kerület, Vörösvári út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "részt vett"
"8" "61.9" "68" "2" " 7. kerület, Dob utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "21.9" "45" "1" " 20. kerület, Kossuth Lajos utca 21-25 " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "dél" "utcai" "6 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "15 000 Ft/hó" NA
"10" "38.9" "54" "2" " 13. kerület, Hegedus Gyula utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület" "nincs" "30 000 Ft/hó" NA
