"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "52.5" "53" "2" " 12. kerület, Abos utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "utcai" "25 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"2" "26.5" "49" "2" " 18. kerület, Ferenc utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "34 999 Ft/hó" NA
"3" "29.9" "54" "2" " 8. kerület, Práter utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "8 m²" "nincs megadva" NA "nincs megadva" NA "13 000 Ft/hó" NA
"4" "43" "58" "1" " 13. kerület, Gyermek tér " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "39.8" "41" "2" " 9. kerület, Máriássy utca " "újszeru" "2019" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "észak" "nincs megadva" "12 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"6" "40.9" "66" "3" " 13. kerület, Kassák Lajos utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön helyiségben" "északkelet" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA "nem vett részt"
"7" "64.9" "81" "2" " 7. kerület, Nyár utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "nincs" "35 000 Ft/hó" NA
"8" "41.9" "68" "2" " 14. kerület, Kerepesi út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "35 000 Ft/hó" "részt vett"
"9" "35.9" "30" "1" " 9. kerület, Ráday utca 24. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület" NA "6 055 Ft/hó" NA
"10" "67" "77" "2" " 7. kerület, Klauzál tér " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északkelet" "utcai" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" NA NA
"11" "70" "85" "2" " 7. kerület, Rákóczi út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "94.7" "118" "3" " 14. kerület, Istvánmezo " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "egyéb" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nincs megadva" "utca, közterület" "nincs" NA NA
"13" "32.95" "56" "2" " 3. kerület, Kerék utca 8. " "felújított" "1950-1980 között" "összkomfortos" "DD" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nyugat" "panorámás" "6 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "30 000 Ft/hó" "nem vett részt"
"14" "67" "67" "3" " 7. kerület, Garay tér " "újszeru" "2014" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"15" "47" "46" "2" " 7. kerület, Sajó utca " "újszeru" "2014" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"16" "42" "42" "2" " 7. kerület, István utca " "újszeru" "2014" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
