"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "parkolohely_ara" "erkely" "legkondicionalo"
"1" "30.99" "52" "3" " 10. kerület, Kobánya – Óhegyi lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "37.72" "46" "2" " 8. kerület, Alföldi utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "teremgarázs hely - kötelezo megvenni" "12 000 Ft/hó" "13 000 €" NA NA
"3" "36.5" "54" "2" " 11. kerület, Kelenföldi lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"4" "17.5" "17" "1" " 20. kerület, Pacsirtatelep " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"5" "43.5" "68" "3" " 13. kerület, Népfürdo utca " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "3 m²" NA
"6" "14.9" "35" "1" " 23. kerület, Soroksár-Újtelep " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"7" "27.5" "37" "2" " 6. kerület, Bajnok utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "12 000 Ft/hó" NA NA NA
"8" "51.9" "54" "2" " 12. kerület, Gaál József út " "jó állapotú" NA "komfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" NA "önálló garázs - megvásárolható" "34 000 Ft/hó" "5 M Ft" "6 m²" "van"
"9" "34.5" "62" "2" " 13. kerület, Gidófalvy Lajos utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület - fizetos övezet" NA NA "3 m²" NA
"10" "52" "59" "2" " 7. kerület, Garay tér " "nincs megadva" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "észak" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA "nincs"
