"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"1" "35" "73" "2" " 8. kerület, Dugonics utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "37.5" "49" "2" " 8. kerület, József utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gázkazán, gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"3" "32.5" "45" "1" " 7. kerület, Hernád utca 24. " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"4" "79.9" "83" "3" " 6. kerület, Paulay Ede utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "5" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA NA
"5" "25.5" "25" "1" " 13. kerület, Victor Hugo utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "11 000 Ft/hó" NA NA NA
"6" "69.9" "75" "3" " 7. kerület, Akácfa utca " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "21 000 Ft/hó" NA NA NA
"7" "37.95" "48" "2" " 11. kerület, Lágymányos " "felújítandó" NA "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "2 m²" NA NA
"8" "26" "25" "1" " 13. kerület, Victor Hugo utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "észak" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"9" "29.9" "34" "1" " 8. kerület, József utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "távfutés" "nem" "egy helyiségben" "délnyugat" "udvari" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "21 000 Ft/hó" NA NA NA
"10" "59.9" "94" "2" " 11. kerület, Gellérthegy " "felújítandó" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"11" "26.9" "31" "1" " 11. kerület, Baranyai utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"12" "28.5" "65" "3" " 15. kerület, Korakás park " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "2.5 m²" "nincs megadva" NA
"13" "26" "25" "1" " 13. kerület, Victor Hugo utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "5" "van" "nincs megadva" "gáz (konvektor)" "nem" "egy helyiségben" "észak" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "20 000 Ft/hó" NA NA NA
"14" "106.8" "129" "4" " 11. kerület, Madárhegy " "újszeru" "2019" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "nincs" NA NA NA "4 M Ft"
"15" "23.9" "50" "1" " 1. kerület, Dísz tér " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA NA
"16" "32.6" "42" "1" " 6. kerület, Csengery utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "7 000 Ft/hó" NA NA NA
"17" "27.5" "34" "1" " 11. kerület, Karcag utca 54. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "25 000 Ft/hó" NA NA NA
"18" "27.9" "59" "2" " 19. kerület, Kispesti lakótelep " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva" NA
"19" "28.9" "32" "1" " 10. kerület, Gyárduloi lakótelep " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "4 m²" NA NA
"20" "94.9" "104" "3" " 5. kerület, Szent István körút 13. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "55 000 Ft/hó" "2 m²" NA NA
