"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "59.65" "63" "3" " 10. kerület, Harmat utca 22. " "új építésu" "2021" "összkomfortos" "AA++" "földszint" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "5.65 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.5 M Ft" NA NA
"2" "88.12" "88" "4" " 10. kerület, Harmat utca " "új építésu" "2021" "összkomfortos" "AA++" "földszint" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "6.37 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.5 M Ft" NA NA
"3" "38.5" "54" "2" " 3. kerület, Kenyeres utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "nincs megadva" NA "30 000 Ft/hó" NA
"4" "51.11" "44" "2" " 10. kerület, Harmat utca 22. " "új építésu" "2021" "összkomfortos" "AA++" "3" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "igen" "külön helyiségben" "nyugat" "kertre nézo" "31.79 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.5 M Ft" NA NA
"5" "25.2" "67" "2" " 10. kerület, Gyömroi út 138. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "igen" "nincs megadva" "nincs megadva" NA NA NA
"6" "118" "110" "4" " 12. kerület, Virányos " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "9 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"7" "35" "52" "2" " 14. kerület, Nezsider park " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" NA "utca, közterület - ingyenes" NA "28 000 Ft/hó" NA
"8" "21.99" "53" "2" " 18. kerület, Havanna utca " "felújítandó" NA "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs megadva"
"9" "31.9" "59" "2" " 3. kerület, Vajda János utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "FF" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"10" "28.4" "49" "2" " 3. kerület, Hímzo utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "külön helyiségben" "északnyugat" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nem vett részt"
"11" "58.9" "52" "2" " 1. kerület, Hegyalja út " "nincs megadva" "2019" "luxus" "nincs megadva" "1" "4" "van" "nincs megadva" "mennyezeti hutés-futés" "van" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "12 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "7 M Ft" NA NA
"12" "68.1" "94" "4" " 14. kerület, Róna utca " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön és egyben is" "délnyugat" "udvari" "3.6 m²" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "4 M Ft" NA NA
"13" "49.8" "98" "4" " 7. kerület, Thököly út " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "2.5 m²" "nem" "nem tetotéri" "nincs megadva" NA "23 000 Ft/hó" NA
"14" "30.99" "53" "2" " 13. kerület, Szent László út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "nincs megadva" "északnyugat" "kertre nézo" "3 m²" "nem" "nem tetotéri" "utca, közterület" NA NA "nincs megadva"
"15" "32" "59" "2" " 3. kerület, Vajda János utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (konvektor)" NA "nem" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"16" "73" "74" "2" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"17" "31.1" "48" "2" " 3. kerület, Harrer Pál utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nem vett részt"
"18" "18.9" "26" "1" " 13. kerület, Zsilip utca " "felújítandó" NA "összkomfortos" "nincs megadva" "2" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nyugat" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"19" "49.9" "95" "2" " 8. kerület, Józsefváros – Csarnoknegyed " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"20" "27.5" "71" "2" " 4. kerület, István út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nem vett részt"
