"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "parkolohely_ara" "rezsikoltseg"
"1" "32.49" "55" "2" " 20. kerület, Pacsirtatelep " "felújított" "1950-1980 között" "összkomfortos" "BB" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"2" "23.9" "59" "3" " 23. kerület, Soroksár – Vargatelep " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m-nél alacsonyabb" "fan-coil" NA "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" NA "nem" "tetotéri" "udvari beálló - benne van az árban" NA NA NA
"3" "25.9" "35" "1" " 13. kerület, Gidófalvy Lajos utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "egy helyiségben" "kelet" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" NA NA
"4" "22" "35" "1" " 21. kerület, Ady Endre út " "felújítandó" NA "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "dél" "panorámás" "5 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"5" "17.3" "20" "1" " 21. kerület, Szabadság utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"6" "27.99" "55" "2" " 21. kerület, Csepel-Erdosor-lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "gáz (konvektor), egyéb" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "5 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"7" "34.9" "30" "1" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"8" "27.3" "53" "2" " 13. kerület, Szent László út " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "15 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"9" "28.9" "32" "1" " 10. kerület, Gyárdulo " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "7" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "külön helyiségben" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "udvari beálló - kötelezo megvenni" NA "1.7 M Ft" NA
"10" "29.9" "36" "1" " 7. kerület, Bajza utca 1. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "8" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"11" "49" "44" "1" " 9. kerület, Bakáts tér " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "20 000 Ft/hó"
"12" "129" "163" "3" " 3. kerület, Testvérhegyi út " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "20 m²" "igen" "tetotéri" "önálló garázs - benne van az árban" NA NA NA
