"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram"
"1" "69.9" "45" "1" " 5. kerület, Belgrád rakpart " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"2" "43.5" "52" "2" " 7. kerület, Vörösmarty utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "30 000 Ft/hó" NA NA
"3" "31.9" "74" "3" " 10. kerület, Vasláb utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "29.9" "63" "2" " 10. kerület, Lavotta utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "6 m²" "nincs megadva"
"5" "63.9" "75" "2" " 6. kerület, Jókai utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "22 000 Ft/hó" NA NA
"6" "30.5" "31" "1" " 6. kerület, Szinyei Merse Pál utca 25. " "újszeru" "2016" "összkomfortos" "CC" "4" "5" "van" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "28.8" "64" "2" " 18. kerület, Margó Tivadar utca " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "nyugat" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "34 000 Ft/hó" "2 m²" "részt vett"
"8" "54.9" "83" "4" " 14. kerület, Istvánmezo " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "északnyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "15 000 Ft/hó" NA NA
"9" "29.9" "54" "2" " 4. kerület, Újpesti lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "nincs megadva" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA "3 m²" "nincs megadva"
"10" "89.9" "112" "4" " 8. kerület, Józsefváros – Palotanegyed " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "nyugat" "utcai" "nem" "nem tetotéri" "önálló garázs - benne van az árban" NA NA NA
"11" "44.2" "55" "2" " 8. kerület, Horánszky utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "65.9" "86" "2" " 7. kerület, Középso-Erzsébetváros " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "30 000 Ft/hó" NA NA
"13" "37.9" "62" "1" " 8. kerület, József körút " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"14" "84.9" "94" "3" " 13. kerület, Tátra utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "földszintes" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "45 000 Ft/hó" NA NA
"15" "169.9" "150" "5" " 5. kerület, Falk Miksa utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "van" "nincs megadva" "külön és egyben is" "dél" "udvari" "nem" "nem tetotéri" "nincs megadva" "54 000 Ft/hó" NA NA
"16" "35.9" "65" "2" " 9. kerület, Haller utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "29 000 Ft/hó" NA NA
"17" "117.18" "144" "4" " 6. kerület, Belso-Terézváros " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "6 m²" NA
"18" "33" "74" "3" " 17. kerület, Pesti út " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "6 m²" "nem vett részt"
"19" "160" "93" "3" " 13. kerület, Pozsonyi út " "felújított" NA "luxus" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" "van" "nincs megadva" "külön és egyben is" "északnyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"20" "99.9" "111" "4" " 8. kerület, Salétrom utca " "felújított" "1950 elott" "duplakomfortos" "EE" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA
