"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "80.5" "103" "3" " 9. kerület, Középso-Ferencváros " "felújított" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "84.52" "101" "4" " 11. kerület, Péterhegy " "nincs megadva" "nincs megadva" "nincs megadva" "földszint" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "20 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" "2019" "van" NA NA NA
"3" "31.8" "49" "1" " 22. kerület, Budatétény " "felújítandó" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "udvari" "4 m²" "nem" NA "utca, közterület" "1950-1980 között" NA NA NA NA
"4" "79.9" "92" "3" " 8. kerület, Horánszky utca " "jó állapotú" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "2 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" "van" NA NA NA
"5" "52.9" "44" "1" " 2. kerület, Kurucles " "felújított" "luxus" "nincs megadva" "1" "2" "nincs" "nincs megadva" "elektromos, padlófutés" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "1950 elott" "van" NA NA NA
"6" "54.9" "95" "3" " 19. kerület, Kispest-Óváros " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (cirko), gáz (konvektor)" "nincs megadva" "egy helyiségben" "északkelet" "utcai" NA "igen" "nincs megadva" "nincs megadva" "1950 elott" "nincs" "13 000 Ft/hó" NA NA
"7" "70" "74" "2" " 6. kerület, Székely Mihály utca 8. " "nincs megadva" "összkomfortos" "nincs megadva" "4" "4" "van" "nincs megadva" "hoszivattyú" "igen" "külön helyiségben" "nincs megadva" "udvari" "55 m²" "nincs megadva" "tetotéri" "utca, közterület - fizetos övezet" "2019" NA NA NA NA
"8" "140" "122" "3" " 6. kerület, Ó utca 48. " "felújított" "luxus" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "utcai" NA "nem" "nem tetotéri" "nincs megadva" "1950 elott" "van" NA NA NA
"9" "33.5" "59" "2" " 14. kerület, Szentmihályi út " "közepes állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "részt vett" NA
"10" "23.25" "27" "1" " 7. kerület, Cserhát utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "10 000 Ft/hó" NA NA
"11" "48" "61" "2" " 3. kerület, Zápor utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nyugat" "kertre nézo" "5 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" NA "30 000 Ft/hó" NA NA
"12" "92.9" "88" "3" " 13. kerület, Balzac utca " "felújított" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" "van" NA NA NA
"13" "21.9" "36" "1" " 10. kerület, Kobánya – Újhegy " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA
"14" "21.2" "29" "1" " 10. kerület, Gyárduloi lakótelep " "felújított" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950-1980 között" "nincs" NA NA NA
"15" "47.9" "86" "3" " 4. kerület, Újpest " "nincs megadva" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "7 m²" "nem" "tetotéri" "teremgarázs hely - megvásárolható" "2019" NA NA NA "2 M Ft"
