"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "parkolohely_ara"
"1" "44.9" "54" "2" " 6. kerület, Bajza utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gázkazán" "40 000 Ft/hó" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA NA NA
"2" "36" "60" "2" " 14. kerület, Nagy Lajos király útja 2-8. " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "5" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "nincs megadva" "nincs" "4 m²" NA NA
"3" "31.5" "27" "1" " 11. kerület, Kondorosi út " "újszeru" "2016" "összkomfortos" "CC" "5" "7" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA
"4" "26" "61" "2" " 21. kerület, Kossuth Lajos utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "EE" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "nincs megadva" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "van" "4 m²" "nem vett részt" NA
"5" "38" "66" "3" " 13. kerület, Futár utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" "4 m²" "nem vett részt" NA
"6" "23.5" "35" "1" " 19. kerület, Eötvös utca 12. " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "8 000 Ft/hó" "igen" "egy helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "részt vett" NA
"7" "142" "128" "4" " 11. kerület, Pacsirtafu utca " "újszeru" "2001-2010 között" "duplakomfortos" "AA" "1" "2" "nincs" "3 m-nél alacsonyabb" "gázkazán" NA "igen" "külön és egyben is" "délkelet" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "van" "18 m²" NA "3 M Ft"
"8" "38.4" "66" "3" " 3. kerület, Bécsi út " "jó állapotú" NA "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" "van" "3 m²" "nincs megadva" NA
"9" "99.9" "100" "2" " 1. kerület, Mátray utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko), padlófutés" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nem" "nincs megadva" "utca, közterület" "van" NA NA NA
"10" "25.5" "59" "2" " 18. kerület, Csontváry Kosztka Tivadar utca 37. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "nem vett részt" NA
"11" "28.9" "31" "1" " 6. kerület, Szófia utca 24. " "felújított" "1950 elott" "összkomfortos" "F" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "északkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"12" "31.9" "32" "1" " 6. kerület, Hegedu utca 5. " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "25 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"13" "30.9" "45" "1" " 14. kerület, Fogarasi park " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "van" "1 m²" NA NA
"14" "56.99" "57" "2" " 14. kerület, Termál utca 4. " "újszeru" "2001-2010 között" "összkomfortos" "AA" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "külön helyiségben" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "40 m²" NA "3 M Ft"
"15" "25" "57" "2" " 3. kerület, Hollós Korvin Lajos utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "12 000 Ft/hó" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva" NA
"16" "58.8" "67" "2" " 4. kerület, Csíksomlyó utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "6 m²" NA NA
"17" "43.9" "65" "2" " 2. kerület, Szilágyi Erzsébet fasor " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"18" "28" "37" "1" " 13. kerület, Róbert Károly körút " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" "van" NA NA NA
"19" "23" "35" "1" " 4. kerület, Kassai utca 13. " "felújítandó" NA "összkomfortos" "E" "9" "10" "van" "nincs megadva" "távfutés" "25 000 Ft/hó" "nincs megadva" "egy helyiségben" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" "van" NA "nincs megadva" NA
"20" "34.9" "36" "1" " 1. kerület, Aladár utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
