"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "74.7" "78" "4" " 9. kerület, Sunny Side Residence " "Sunny Side Residence" "új építésu" "2021" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "nincs megadva" "északnyugat" "kertre nézo" "17.57 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3.2 M Ft" NA NA NA
"2" "51.1" "50" "2" " 9. kerület, Sunny Side Residence " "Sunny Side Residence" "új építésu" "2021" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "északnyugat" "kertre nézo" "13.79 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3 M Ft" NA NA NA
"3" "44.9" "107" "4" " 20. kerület, Erzsébetfalva " NA "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "udvari" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "34.9" "42" "2" " 7. kerület, Dembinszky utca 50. " NA "felújított" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"5" "30.5" "57" "2" " 8. kerület, Népszínház utca " NA "felújítandó" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA "24 000 Ft/hó" NA
"6" "36.9" "57" "2" " 20. kerület, Pacsirtatelep " NA "nincs megadva" "2019" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "25.9" "35" "1" " 10. kerület, Kobánya – Újhegy " NA "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"8" "30.9" "52" "2" " 10. kerület, Veszprémi utca " NA "felújítandó" NA "komfortos" "nincs megadva" "félemelet" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "11 000 Ft/hó" NA
"9" "35.99" "53" "2" " 11. kerület, Fehérvári út " NA "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" NA "nincs" "10 000 Ft/hó" "nem vett részt"
"10" "13.8" "25" "1" " 19. kerület, Kispest-Óváros " NA "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
