"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"1" "33.9" "36" "2" " 11. kerület, Bercsényi utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "49.9" "79" "3" " 11. kerület, Kelenföld " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA
"3" "37.9" "58" "2" " 13. kerület, Dózsa György út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "nincs megadva" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"4" "26.99" "55" "2" " 15. kerület, Nyírpalota út " "közepes állapotú" "1950-1980 között" "komfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs" "30 000 Ft/hó" "3 m²" "nem vett részt" NA
"5" "59.9" "82" "2" " 7. kerület, Külso-Erzsébetváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "16 000 Ft/hó" "5 m²" NA NA
"6" "34.9" "42" "1" " 6. kerület, Bajza utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA
"7" "44.9" "36" "1" " 5. kerület, Garibaldi utca " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "4" "van" "nincs megadva" "elektromos" "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"8" "89.5" "112" "4" " 8. kerület, Krúdy utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"9" "34.9" "41" "1" " 7. kerület, Erzsébet körút " "felújítandó" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"10" "30.99" "53" "2" " 13. kerület, Szent László út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "nincs megadva" "északnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA "3 m²" "nincs megadva" NA
