"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "lakopark_neve" "epites_eve" "erkely" "panelprogram" "legkondicionalo"
"1" "30" "52" "2" " 8. kerület, Bauer Sándor utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "18 500 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "24.9" "35" "1" " 10. kerület, Cserkesz Lakóház " "új építésu" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gázkazán, házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "Cserkesz Lakóház" "2020" "6.4 m²" NA NA
"3" "24.9" "34" "1" " 14. kerület, Istvánmezo " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "igen" "egy helyiségben" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "1950-1980 között" NA NA NA
"4" "29.5" "61" "2" " 15. kerület, Zsókavár utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "részt vett" NA
"5" "39.9" "77" "2" " 7. kerület, Külso-Erzsébetváros " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "nincs megadva" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA "1950 elott" NA NA NA
"6" "117" "149" "6" " 8. kerület, Szentkirályi utca 35. " "felújított" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "1950 elott" NA NA NA
"7" "35.7" "62" "2" " 10. kerület, Zágrábi utca " "felújítandó" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "1950-1980 között" "6 m²" "nincs megadva" NA
"8" "24.99" "47" "2" " 15. kerület, Páskomliget utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "1950-1980 között" NA "nem vett részt" "nincs"
"9" "9.9" "47" "2" " 9. kerület, Telepy utca " "felújított" "komfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "30 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" NA "1950-1980 között" NA NA "nincs"
"10" "24.9" "60" "2" " 18. kerület, Havanna utca " "felújítandó" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "kelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA "1950-1980 között" "4 m²" "nem vett részt" "van"
"11" "83.75" "125" "3" " 9. kerület, Bakáts tér " "felújítandó" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "40 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA "1950 elott" NA NA NA
"12" "32" "34" "1" " 13. kerület, Visegrádi utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "1950 elott" NA NA NA
"13" "52.89" "64" "2" " 7. kerület, Wesselényi utca " "felújított" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "1950 elott" NA NA NA
"14" "35.9" "49" "2" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " "felújítandó" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "1981-2000 között" NA NA NA
"15" "48.99" "48" "2" " 12. kerület, Városmajor utca 32/c " "felújított" "összkomfortos" "EE" "2" "3" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, gáz (konvektor)" "15 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "udvari beálló - bérelheto" NA "1950-1980 között" NA NA "van"
"16" "44.89" "58" "2" " 7. kerület, Wesselényi utca " "felújított" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "1950 elott" NA NA NA
"17" "42.9" "56" "2" " 12. kerület, Greguss utca 10. " "felújítandó" "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délnyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA "1950 elott" NA NA "nincs"
"18" "21" "31" "1" " 4. kerület, József Attila utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"19" "96.9" "76" "3" " 13. kerület, Marina sétány " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "56 m²" NA NA
"20" "49.9" "48" "2" " 11. kerület, Szüret utca " "közepes állapotú" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "14 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA "1950-1980 között" "10 m²" NA "nincs"
