"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "parkolohely_ara"
"1" "39" "63" "2" " 11. kerület, Kondorosi út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "9" "van" "3 m-nél alacsonyabb" "távfutés" "40 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "panorámás" "5 m²" "nem" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA NA
"2" "24.9" "51" "2" " 3. kerület, Hatvany Lajos utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"3" "27.5" "51" "2" " 3. kerület, Zemplén Gyozo utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "dél" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"4" "26.9" "50" "2" " 3. kerület, Víziorgona utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"5" "29.2" "61" "2" " 21. kerület, Nyuszi sétány " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "5 m²" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA NA
"6" "108.9" "121" "3" " 6. kerület, Aradi utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "40 000 Ft/hó" "nincs megadva" "külön és egyben is" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" NA "utca, közterület" "van" NA
"7" "27" "35" "1" " 13. kerület, Forgách utca " "felújított" NA "komfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "elektromos" "25 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nincs megadva" NA "utca, közterület" NA NA
"8" "56.8" "71" "2" " 7. kerület, Damjanich utca 40. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "igen" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"9" "39.5" "54" "2" " 14. kerület, Alsórákos " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"10" "27.2" "31" "1" " 3. kerület, Szentendrei út " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés" "16 680 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA
