"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg"
"1" "34.9" "40" "2" " 9. kerület, Tompa utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "47.5" "73" "2" " 8. kerület, Népszínház utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "7" "van" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"3" "67" "100" "3" " 7. kerület, Csengery utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "56.35" "46" "2" " 2. kerület, II/A kerület – Budaliget " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "8 m²" NA NA
"5" "41.99" "73" "2.5" " 3. kerület, Rómaifürdo – Pók utcai lakótelep " "jó állapotú" NA "nincs megadva" "nincs megadva" "4" "4" "nincs" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs megadva" NA
"6" "35.8" "71" "2" " 4. kerület, Szigeti József utca " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "4 m²" "nincs megadva" NA
"7" "40.5" "60" "2" " 15. kerület, Rákospalota " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA NA NA
"8" "168" "193" "5" " 3. kerület, Táborhegy " "nincs megadva" "2015" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" "nem" "nincs megadva" "délkelet" "panorámás" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA "38 m²" NA NA
"9" "26.99" "47" "1" " 4. kerület, Pozsonyi utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA
"10" "34.99" "52" "2" " 3. kerület, Kerék utca " "felújított" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "4 m²" "nincs megadva" NA
