"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "legkondicionalo" "rezsikoltseg" "erkely" "parkolohely_ara"
"1" "18.45" "49" "1" " 10. kerület, Tárna utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"2" "39.99" "56" "2" " 8. kerület, Nap utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "29.9" "52" "2" " 14. kerület, Nagy Lajos király útja " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület" NA "nincs" "9 900 Ft/hó" NA NA
"4" "36.9" "34" "1" " 3. kerület, Óbuda – Filatorigát " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"5" "37.9" "48" "2" " 8. kerület, Fecske utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "30 000 Ft/hó" NA NA
"6" "54.9" "59" "2" " 8. kerület, Dobozi utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "dél" "nincs megadva" "igen" "legfelso emelet, nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA "van" NA "14 m²" "5 M Ft"
"7" "30.5" "46" "1" " 14. kerület, Újváros park 4-5 " "jó állapotú" NA "nincs megadva" "nincs megadva" "9" "10" "van" "nincs megadva" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "részt vett" NA "25 000 Ft/hó" NA NA
"8" "37.7" "52" "2" " 11. kerület, Rahó utca 2-8 " "jó állapotú" NA "nincs megadva" "nincs megadva" "4" "5" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "van" NA "4 m²" NA
"9" "22" "41" "1" " 20. kerület, Török Flóris utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "37 000 Ft/hó" NA NA
"10" "15" "35" "1" " 19. kerület, Rákóczi utca " "felújítandó" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"11" "115" "85" "3" " 3. kerület, Haránt utca " "nincs megadva" NA "duplakomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko), padlófutés" "nem" "külön helyiségben" "délkelet" "panorámás" "igen" "nem tetotéri" "önálló garázs - megvásárolható" NA "van" "16 000 Ft/hó" "12 m²" "5 M Ft"
"12" "32" "46" "1" " 13. kerület, Karikás Frigyes utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "nincs megadva" "dél" "utcai" "nem" NA "utca, közterület" NA NA NA NA NA
"13" "38.9" "35" "1" " 13. kerület, Szent István körút " "nincs megadva" NA "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"14" "22.5" "34" "1" " 14. kerület, Gyarmat utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"15" "35" "45" "1" " 11. kerület, Bartók Béla út " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" "utca, közterület" NA "nincs" NA NA NA
"16" "21.9" "38" "1" " 10. kerület, Csilla utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"17" "43.8" "94" "2.5" " 18. kerület, Egressy Gábor utca " "nincs megadva" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA "van" "30 000 Ft/hó" NA NA
"18" "26.9" "65" "2" " 15. kerület, Drégelyvár utca 13. " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "részt vett" "nincs" "30 000 Ft/hó" "3 m²" NA
"19" "27.9" "59" "2" " 19. kerület, Kispesti lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nem vett részt" NA NA NA NA
"20" "29.5" "50" "2" " 19. kerület, József Attila utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, elektromos" "nem" "egy helyiségben" "kelet" "utcai" "igen" "nincs megadva" "utca, közterület - ingyenes" NA "van" NA "10 m²" NA
