"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "lakopark_neve"
"1" "84.18" "70" "2" " 3. kerület, Fehéregyházi út " "nincs megadva" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "30 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "66" "82" "2" " 8. kerület, Krúdy utca 9. " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "dél" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" "nincs" "50 000 Ft/hó" NA NA
"3" "112" "108" "2" " 5. kerület, Lipótváros " "felújított" "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "nincs megadva" "1950 elott" "van" NA NA NA
"4" "73.9" "103" "4" " 13. kerület, Visegrádi utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"5" "31.9" "55" "2" " 9. kerület, József Attila-lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "1" "4" "nincs" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"6" "48.8" "50" "2" " 22. kerület, X. utca " "nincs megadva" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délkelet" "kertre nézo" "15 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" NA NA "2.5 M Ft" NA
"7" "71.9" "65" "2" " 6. kerület, Paulay Ede utca " "újszeru" "nincs megadva" "nincs megadva" "7" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "8 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" "2001-2010 között" "van" NA NA NA
"8" "126.2" "105" "3" " 9. kerület, Középso-Ferencváros " "nincs megadva" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön és egyben is" "délnyugat" "panorámás" "104.87 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2019" "nincs" NA "4 M Ft" NA
"9" "35.9" "36" "1" " 8. kerület, József körút " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"10" "90.9" "52" "1" " 5. kerület, Lipótváros " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
