"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "59.9" "60" "1" " 5. kerület, Falk Miksa utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "165" "137" "4" " 2. kerület, Hárshegy " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "56 m²" NA NA NA
"3" "176" "84" "3" " 1. kerület, Tabán " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "189.95" "188" "5" " 1. kerület, Krisztinaváros " "közepes állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "20 m²" NA NA NA
"5" "189" "176" "4" " 12. kerület, Istenhegy – Diósárok " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "40 m²" NA NA NA
"6" "33.9" "42" "1" " 13. kerület, Szegedi út " "újszeru" "2020" "összkomfortos" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 m²" "2.8 M Ft" NA NA
"7" "62.9" "81" "3" " 7. kerület, Külso-Erzsébetváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"8" "89.9" "124" "5" " 7. kerület, Klauzál tér " "jó állapotú" NA "komfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko), gáz (konvektor)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "20 m²" NA "13 000 Ft/hó" NA
"9" "64.9" "82" "3" " 6. kerület, Izabella utca " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "8 m²" NA "24 000 Ft/hó" NA
"10" "31.5" "71" "2" " 4. kerület, Virág utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "4 m²" NA NA "nincs megadva"
"11" "29.9" "55" "2" " 13. kerület, Angyalföld – Loportárdulo " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "62" "81" "3" " 13. kerület, Újlipótváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "6" "van" "3 m vagy magasabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "17 000 Ft/hó" NA
"13" "49.9" "45" "2" " 6. kerület, Rózsa utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "12 000 Ft/hó" NA
