"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "parkolohely_ara" "panelprogram"
"1" "69.9" "61" "2" " 5. kerület, Lipótváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "36" "38" "1" " 2. kerület, Bem rakpart 44. " "nincs megadva" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"3" "29.8" "48" "2" " 8. kerület, Józsefváros – Népszínháznegyed " "jó állapotú" NA "komfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"4" "38.9" "41" "1" " 14. kerület, Egressy út 27-29 " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "udvari beálló - megvásárolható" "van" "17 000 Ft/hó" "6 m²" "1.5 M Ft" NA
"5" "69.99" "83" "3" " 13. kerület, Váci út " "újszeru" "1950 elott" "duplakomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA "4 m²" NA NA
"6" "27.49" "44" "1" " 18. kerület, Szent Lorinc-lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "van" NA "4 m²" NA NA
"7" "65" "89" "3" " 2. kerület, Felhévíz " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"8" "24.9" "40" "1" " 20. kerület, Erzsébetfalva " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA NA
"9" "51" "101" "2" " 11. kerület, Budaörsi út " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "1 m²" NA NA
"10" "21.9" "32" "1" " 13. kerület, Forgách utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "elektromos, cserépkályha" "igen" "egy helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA NA
"11" "20.7" "29" "1" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"12" "27.3" "53" "3" " 21. kerület, Zrínyi utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délkelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA "30 000 Ft/hó" "2.7 m²" NA "nincs megadva"
"13" "46.6" "85" "2" " 4. kerület, Attila utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"14" "77" "86" "4" " 13. kerület, Röntgen utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "BB" "2" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön és egyben is" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "4 m²" NA NA
"15" "16.9" "26" "1" " 20. kerület, Kossuthfalva " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"16" "29.8" "50" "2" " 3. kerület, Hollós Korvin Lajos utca 4. " "közepes állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "3 m²" NA "részt vett"
"17" "49.9" "53" "2" " 6. kerület, Szófia utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA NA
"18" "48.3" "61" "2" " 12. kerület, Maros utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"19" "48.5" "43" "1" " 7. kerület, Rózsa utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "5 m²" NA NA
"20" "31.2" "37" "1" " 3. kerület, Berend utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
