"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "lakopark_neve" "erkely" "parkolohely_ara" "rezsikoltseg" "panelprogram" "legkondicionalo"
"1" "34.99" "30" "1" " 6. kerület, Bajnok utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA NA
"2" "24.9" "33" "1" " 20. kerület, Madison Park " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "Madison Park" "4 m²" "2 M Ft" NA NA NA
"3" "30.99" "52" "2" " 19. kerület, Ady Endre út " "új építésu" "2019" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "nincs megadva" "nincs megadva" "tetotéri" "teremgarázs hely - megvásárolható" NA NA "2.5 M Ft" NA NA NA
"4" "26.9" "41" "1" " 8. kerület, Kun utca 4. " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "6" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "nincs megadva" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "30 000 Ft/hó" NA NA
"5" "21.3" "36" "1" " 15. kerület, Nyírpalota út 7. " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "részt vett" NA
"6" "28.9" "50" "2" " 3. kerület, Miklós utca " "felújítandó" NA "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" NA "4 m²" NA NA "nem vett részt" NA
"7" "19.99" "38" "1" " 4. kerület, Árpád út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "észak" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "1 m²" NA NA NA "nincs"
"8" "183.61" "145" "5" " 6. kerület, Szív utca " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"9" "191.96" "185" "6" " 6. kerület, Hajós utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"10" "183.61" "143" "4" " 6. kerület, Csengery utca " "felújított" NA "nincs megadva" "nincs megadva" "3" "3" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA "van"
