"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "parkolohely_ara" "lakopark_neve"
"1" "127.5" "94" "2" " 5. kerület, Veres Pálné utca 14. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "van" "19 000 Ft/hó" "nem" "egy helyiségben" "délkelet" "utcai" "1.73 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"2" "31.5" "52" "2" " 8. kerület, Losonci tér " "jó állapotú" "1950-1980 között" "összkomfortos" "CC" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "13 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület" "részt vett" NA NA
"3" "28.2" "61" "2" " 19. kerület, Kosárfonó utca 26. " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "11 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "kertre nézo" "4 m²" "nem" "nem tetotéri" "utca, közterület" "nem vett részt" NA NA
"4" "28" "52" "2" " 8. kerület, Dobozi utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "nyugat" "udvari" NA "nem" "nincs megadva" "nincs megadva" NA NA NA
"5" "22.9" "35" "1" " 15. kerület, Páskomliget utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "25 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "nincs megadva" "3 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" "nem vett részt" NA NA
"6" "47.5" "72" "3" " 9. kerület, József Attila-lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "3.6 m²" "nincs megadva" NA "nincs megadva" NA NA NA
"7" "57.9" "71" "3" " 5. kerület, Lipótváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "dél" "udvari" NA "nem" "nincs megadva" "nincs megadva" NA NA NA
"8" "39.5" "54" "1" " 20. kerület, Elod utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "21 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "42.49" "48" "2" " 3. kerület, Kocsis Sándor út " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, gázkazán" "van" NA "igen" "egy helyiségben" "nyugat" "utcai" "9.24 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "4 M Ft" NA
"10" "102.87" "91" "3" " 3. kerület, Kocsis Sándor út 6. " "új építésu" "2020" "összkomfortos" "AA++" "4" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, gázkazán" "van" NA "igen" "külön helyiségben" "dél" "panorámás" "103 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" NA "4 M Ft" NA
"11" "49" "59" "2" " 12. kerület, Virányos " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "11 000 Ft/hó" "nem" "külön és egyben is" "délkelet" "kertre nézo" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"12" "86.4" "83" "4" " 3. kerület, Forest Hill Lakópark " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "igen" "külön helyiségben" "nincs megadva" "panorámás" "17 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "4.5 M Ft" "Forest Hill Lakópark"
"13" "94.87" "107" "4" " 3. kerület, Kocsis Sándor út 4. " "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú, gázkazán" "van" NA "igen" "külön és egyben is" "kelet" "panorámás" "53.88 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" NA "4 M Ft" NA
"14" "37.6" "50" "2" " 14. kerület, Öv utca 137. " "új építésu" "2019" "összkomfortos" "AA+" "2" "8" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" NA NA "igen" "egy helyiségben" "nyugat" "panorámás" "6.4 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "5 M Ft" NA
"15" "52.9" "49" "2" " 14. kerület, Újvilág utca " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "3" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "10 000 Ft/hó" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "4 m²" "nincs megadva" "tetotéri" "teremgarázs hely - bérelheto" NA NA NA
"16" "66.9" "64" "2" " 13. kerület, Meder utca " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "igen" "külön helyiségben" "északkelet" "panorámás" "14 m²" "nem" "nem tetotéri" "teremgarázs hely" NA NA NA
"17" "34.9" "50" "2" " 14. kerület, Szugló utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nem" "nincs megadva" "nincs megadva" NA NA NA
