"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "90.77" "72" "3" " 3. kerület, Csillaghegy " "nincs megadva" "2018" "összkomfortos" "nincs megadva" "3" "3" "van" "nincs megadva" "házközponti, padlófutés" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "83 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "28" "100" "2" " 8. kerület, Józsefváros – Palotanegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "külön és egyben is" "északnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "8 000 Ft/hó" NA NA
"3" "185" "230" "5" " 11. kerület, Kelenhegyi út " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" NA "igen" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" "25 000 Ft/hó" NA NA
"4" "81.5" "155" "4" " 8. kerület, Luther utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nem" "külön és egyben is" "északkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "31 000 Ft/hó" NA NA
"5" "70.59" "83" "3" " 3. kerület, Csillaghegy " "nincs megadva" "2018" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "padlófutés, házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "15 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "67.73" "75" "3" " 3. kerület, Csillaghegy " "nincs megadva" "2018" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "padlófutés, házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "12 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "79.86" "73" "3" " 3. kerület, Csillaghegy " "nincs megadva" "2018" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "nincs megadva" "házközponti, padlófutés" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "88 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "72.62" "58" "2" " 5. kerület, Semmelweis utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "északnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"9" "233.69" "152" "5" " 5. kerület, Szemere utca " "felújított" NA "luxus" "nincs megadva" "3" "4" "van" "nincs megadva" "házközponti" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "van" NA NA NA
"10" "89" "170" "5" " 8. kerület, József utca " "közepes állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "északkelet" "utcai" "9 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"11" "412" "150" "4" " 6. kerület, K40 " "nincs megadva" "2018" "duplakomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "hoszivattyú" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "150 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA "8 M Ft" NA
"12" "196.97" "160" "5" " 5. kerület, Falk Miksa utca 30. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "4" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"13" "71.26" "83" "3" " 3. kerület, Csillaghegy " "nincs megadva" "2018" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"14" "44.5" "95" "3" " 8. kerület, József körút " "jó állapotú" "1950 elott" "duplakomfortos" "DD" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "udvari" NA "igen" "nincs megadva" "udvari beálló - bérelheto" NA "28 000 Ft/hó" "5 000 Ft/hó" NA
"15" "63.32" "62" "3" " 3. kerület, Csillaghegy " "nincs megadva" "2018" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "47 m²" "igen" "nem tetotéri" "nincs megadva" NA NA NA NA
"16" "115.8" "110" "5" " 3. kerület, Csillaghegy " "nincs megadva" "2018" "duplakomfortos" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "padlófutés" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "156 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"17" "47.9" "50" "2" " 13. kerület, Vizafogó – Marinapart " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "kelet" "panorámás" "9.5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "35" "42" "2" " 8. kerület, Baross utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "dél" "udvari" NA "nem" "zárószint" "utca, közterület - ingyenes" "nincs" NA NA NA
