"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram" "legkondicionalo"
"1" "49.89" "59" "3" " 13. kerület, Angyalföld " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA NA NA
"2" "56.9" "61" "3" " 13. kerület, Hegedus Gyula utca " "nincs megadva" "1981-2000 között" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "12 500 Ft/hó" NA NA NA
"3" "39" "51" "3" " 7. kerület, Verseny utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "29.33" "36" "2" " 11. kerület, Kosztolányi Dezso tér 5. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "22.9" "55" "2" " 10. kerület, Kobánya – Újhegyi lakótelep " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "3 m²" "nincs megadva" NA
"6" "125" "160" "5" " 5. kerület, Bajcsy-Zsilinszky út " "felújítandó" NA "nincs megadva" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "60" "48" "1" " 7. kerület, Gozsdu udvar " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "35.4" "49" "2" " 3. kerület, Óbudai lakótelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva" NA
"9" "36.9" "53" "2" " 11. kerület, Dayka Gábor utca 19. " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "5 m²" NA "nincs"
"10" "21" "32" "1" " 22. kerület, Budafok-Belváros " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"11" "115" "120" "4" " 1. kerület, Víziváros – Váralja " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"12" "33" "46" "1" " 13. kerület, Tomori utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" NA "utca, közterület" NA "4 m²" NA NA
"13" "89.8" "117" "4" " 22. kerület, Hasadék utca " "felújított" "2001-2010 között" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "panorámás" "igen" "nincs megadva" "teremgarázs hely - kötelezo megvenni" NA "14 m²" NA NA
"14" "29.9" "42" "1" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"15" "103.56" "149" "4" " 17. kerület, Rákoscsaba " "újszeru" "2019" "duplakomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "igen" "tetotéri" "udvari beálló - benne van az árban" NA "20 m²" NA "van"
"16" "72.98" "105" "3" " 17. kerület, Rákoscsaba " "újszeru" "2019" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "31 m²" NA "van"
"17" "25.99" "38" "1" " 14. kerület, Nagyzugló " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "van"
"18" "22.9" "53" "2" " 18. kerület, Havanna-lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "10 felett" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs megadva" NA
"19" "34.9" "43" "3" " 8. kerület, József körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "10 000 Ft/hó" NA NA NA
"20" "52.13" "75" "3" " 17. kerület, Rákoscsaba " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "16 m²" NA "van"
