"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "lakopark_neve" "rezsikoltseg" "panelprogram"
"1" "70.9" "73" "3" " 2. kerület, II/A kerület – Széphalom " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "igen" "külön és egyben is" "nincs megadva" "utcai" "9.3 m²" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "6 M Ft" NA NA NA
"2" "44.9" "33" "1" " 8. kerület, Bródy Sándor utca " "újszeru" "2018" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "igen" "egy helyiségben" "délnyugat" "udvari" "10 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"3" "39.32" "45" "2" " 11. kerület, Semiramis Garden " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "házközponti" "van" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "4.65 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3.5 M Ft" "Semiramis Garden" NA NA
"4" "47.5" "67" "2" " 8. kerület, Józsefváros – Népszínháznegyed " "közepes állapotú" "1950 elott" "komfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "egyéb, gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nincs megadva" "utca, közterület" NA NA NA NA
"5" "37.5" "41" "1" " 11. kerület, Kelenföld " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "80.09" "73" "3" " 8. kerület, Rigó III Lakópark " "új építésu" "2021" "összkomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "délnyugat" "kertre nézo" "14.02 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "4.8 M Ft" "Rigó III Lakópark" NA NA
"7" "35.5" "42" "2" " 14. kerület, Herminamezo " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "25 000 Ft/hó" NA
"8" "109.9" "118" "5" " 3. kerület, Zeyk Domokos utca " "új építésu" "2020" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "59 m²" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "4 M Ft" NA NA NA
"9" "39.9" "60" "2" " 13. kerület, Angyalföld " "felújított" NA "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" NA "utca, közterület" NA NA NA NA
"10" "35.6" "45" "2" " 11. kerület, Szentimreváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "igen" "külön helyiségben" "délkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"11" "64.5" "74" "3" " 5. kerület, Alkotmány utca " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA NA NA
"12" "89.9" "114" "4" " 2. kerület, Pasarét " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"13" "30.99" "53" "2" " 7. kerület, Bethlen Gábor utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "18 000 Ft/hó" NA
"14" "27.9" "28" "1" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"15" "31.99" "47" "2" " 18. kerület, Királyhágó utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs" "nincs megadva" "egy helyiségben" "délkelet" "udvari" "4.2 m²" "nem" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA NA NA
"16" "56.9" "68" "2" " 11. kerület, Kelenföld " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "északkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
