"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "parkolohely_ara"
"1" "36.5" "55" "2" " 14. kerület, Füredi utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "30 000 Ft/hó" "igen" "külön helyiségben" "nyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA NA
"2" "23.9" "43" "1" " 20. kerület, Baross utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs" NA "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA NA
"3" "30.9" "28" "1" " 11. kerület, Bartók Béla út 33. " "felújított" NA "komfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "elektromos, egyéb" "nincs" "21 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "udvari" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - ingyenes" NA NA
"4" "41.9" "61" "3" " 10. kerület, Újhegyi út 4/A " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "35 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "utca, közterület" "4 m²" NA
"5" "48" "59" "2" " 10. kerület, Kobányai út 45. " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "14 000 Ft/hó" "igen" "külön és egyben is" "kelet" "udvari" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "1 m²" "3.5 M Ft"
"6" "24.9" "35" "1" " 4. kerület, Kassai utca 11. " "felújított" NA "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nem" "nincs megadva" "nem vett részt" "utca, közterület - ingyenes" NA NA
"7" "29.9" "37" "1" " 11. kerület, Fehérvári út 46. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "12 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"8" "89" "170" "5" " 8. kerület, József utca " "közepes állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "36 Ft/hó" "nincs megadva" "külön és egyben is" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" "9 m²" NA
"9" "42" "45" "1" " 2. kerület, Lövoház utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti" "van" "39 999 Ft/hó" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "2 m²" NA
"10" "39.8" "77" "2" " 4. kerület, Ügeto utca " "jó állapotú" "1981-2000 között" "komfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" NA "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA NA
