"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "erkely" "parkolohely_ara"
"1" "33.49" "67" "3" " 4. kerület, Hajló utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "igen" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"2" "33.9" "43" "1" " 6. kerület, Csengery utca 74. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA
"3" "29.9" "37" "1" " 12. kerület, Hollósy Simon utca 20. " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nincs megadva" "egy helyiségben" "északkelet" "kertre nézo" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA
"4" "36.9" "49" "2" " 11. kerület, Sáfrány utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés, távfutés egyedi méréssel" "van" "igen" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "12 000 Ft/hó" NA NA
"5" "27.9" "32" "1" " 8. kerület, Nagy Fuvaros utca " "felújított" NA "összkomfortos" "F" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "25 000 Ft/hó" NA NA
"6" "52.8" "70" "2" " 8. kerület, Ülloi út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "igen" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "35 000 Ft/hó" "2 m²" NA
"7" "28.9" "35" "1" " 6. kerület, Szív utca 54. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA
"8" "20.49" "26" "1" " 8. kerület, Diószegi Sámuel utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "20 000 Ft/hó" NA NA
"9" "49.8" "63" "3" " 3. kerület, Nagyszombat utca 25. " "jó állapotú" "1950-1980 között" "komfortos" "EE" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" "40 000 Ft/hó" NA NA
"10" "19.9" "23" "1" " 13. kerület, Visegrádi utca 92. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "nincs megadva" NA NA NA
