"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "75" "80" "3" " 9. kerület, Lónyay utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "157.27" "99" "3" " 6. kerület, Ó utca " "felújított" "2019" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "nincs megadva" "tetotéri" "nincs megadva" "van" "25.03 m²" NA NA NA
"3" "24.9" "53" "2" " 4. kerület, Zichy Mihály utca " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "3 m²" "nem vett részt" NA NA
"4" "54.9" "74" "3" " 2. kerület, Forint utca " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "van" "2 m²" NA "40 000 Ft/hó" NA
"5" "71" "68" "2" " 6. kerület, Andrássy út 99. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "északnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"6" "24.5" "26" "1" " 8. kerület, Bacsó Béla utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "egyéb" "nem" "nincs megadva" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"7" "49.9" "70" "4" " 15. kerület, Rákospalota " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "nincs megadva" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA NA
"8" "34.5" "54" "2" " 22. kerület, Regényes utca " "közepes állapotú" "1981-2000 között" "komfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "panorámás" "nem" NA "utca, közterület - ingyenes" "nincs" "5 m²" NA NA NA
"9" "39.5" "49" "2" " 14. kerület, Alsórákos " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "9.5 m²" NA NA NA
"10" "46.9" "50" "2" " 6. kerület, Szív utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "egy helyiségben" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs" "5 m²" NA NA NA
