"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram"
"1" "49" "63" "2" " 7. kerület, Kertész utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "19 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület" NA
"2" "46.8" "74" "3" " 11. kerület, Torbágy utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "5" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" NA "45 000 Ft/hó" "igen" "külön helyiségben" "kelet" "kertre nézo" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva"
"3" "64" "95" "4" " 13. kerület, Csizma utca " "újszeru" "2011" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "igen" "külön helyiségben" "nyugat" "utcai" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA
"4" "33.2" "44" "2" " 12. kerület, Hajnóczy József utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA
"5" "32.5" "51" "2" " 8. kerület, Práter utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva"
"6" "54.9" "85" "2" " 12. kerület, Márvány utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "cserépkályha" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA
"7" "57.9" "94" "3" " 9. kerület, Középso-Ferencváros – Malmok " "felújítandó" NA "komfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs" NA "nem" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nincs megadva" "utca, közterület" NA
"8" "68.9" "86" "3" " 10. kerület, Bolgár utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "20 m²" "igen" "nincs megadva" "udvari beálló" NA
"9" "56.99" "57" "1" " 9. kerület, Mester utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nyugat" "udvari" "2 m²" "igen" "nem tetotéri" "nincs megadva" NA
"10" "37.99" "75" "2" " 8. kerület, Baross utca " "jó állapotú" NA "duplakomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "35 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA
"11" "76.9" "87" "2" " 7. kerület, Kertész utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA
"12" "26.9" "53" "2" " 15. kerület, Drégelyvár utca 3. " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva"
"13" "33.5" "68" "3" " 4. kerület, Káposztásmegyer I. lakótelep " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "nincs megadva" "észak" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület" "nincs megadva"
"14" "37.9" "36" "1" " 14. kerület, Kiszugló " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "9 000 Ft/hó" "nem" "külön és egyben is" "kelet" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA
