"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "legkondicionalo" "rezsikoltseg" "lakopark_neve" "parkolohely_ara"
"1" "57.9" "102" "2" " 11. kerület, Október huszonharmadika utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "52" "82" "3" " 18. kerület, Gloriett-telep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA NA NA NA
"3" "48.9" "74" "2" " 11. kerület, Törökugrató utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "23.85" "27" "1" " 8. kerület, Fecske utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "dél" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA NA
"5" "23.8" "34" "1" " 22. kerület, Játék utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA
"6" "58" "93" "3" " 9. kerület, Ülloi út 11. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" "20 000 Ft/hó" NA NA
"7" "49.9" "54" "2" " 12. kerület, Táltos utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti, gázkazán" "nem" "külön helyiségben" "dél" "kertre nézo" "2 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" "30 000 Ft/hó" NA NA
"8" "70" "101" "2" " 8. kerület, Bérkocsis utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"9" "23.5" "24" "1" " 8. kerület, Józsefváros – Orczynegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"10" "20.6" "28" "1" " 8. kerület, Kálvária tér " "nincs megadva" NA "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "30 000 Ft/hó" NA NA
"11" "16.9" "30" "1" " 14. kerület, Alsórákos " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"12" "23.5" "24" "1" " 8. kerület, Dugonics utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"13" "71.5" "72" "2.5" " 4. kerület, Julianus Ház 2. " "új építésu" "2019" "duplakomfortos" "nincs megadva" "2" "2" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "igen" "külön és egyben is" "délkelet" "nincs megadva" "24.04 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA "van" NA "Julianus Ház 2." "3.5 M Ft"
"14" "25.3" "31" "1" " 3. kerület, Óbudai lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "van" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nem" "nincs megadva" "nincs megadva" "nem vett részt" "nincs" NA NA NA
"15" "19.5" "25" "1" " 6. kerület, Eötvös utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "25 000 Ft/hó" NA NA
"16" "32.6" "50" "1" " 14. kerület, Rákospatak utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"17" "26.9" "52" "2" " 19. kerület, Árpád utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "4" "10" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"18" "56.9" "66" "2" " 11. kerület, Bocskai út " "felújított" NA "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nem" "nincs megadva" "nincs megadva" NA NA NA NA NA
"19" "84.9" "102" "3" " 2. kerület, Frankel Leó út " "felújított" NA "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA "van" NA NA NA
"20" "26.9" "52" "2" " 13. kerület, Angyalföld – Loportárdulo " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "33 000 Ft/hó" NA NA
