"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "46" "64" "2" " 2. kerület, Pasarét " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "10 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"2" "34" "57" "2" " 8. kerület, Népszínház utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "40 000 Ft/hó" NA
"3" "27.99" "55" "2" " 21. kerület, Erdosor utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "utcai" "5 m²" "nem" NA "utca, közterület - ingyenes" "van" NA NA
"4" "35.9" "65" "3" " 3. kerület, Szello utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs megadva"
"5" "59.9" "90" "3" " 8. kerület, Salétrom utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" "nincs" NA NA
"6" "37.99" "63" "2" " 11. kerület, Albertfalva " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "nem vett részt"
"7" "85" "98" "3" " 8. kerület, Józsefváros – Csarnoknegyed " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "3" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"8" "28.5" "30" "1" " 9. kerület, Belso-Ferencváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "26.99" "47" "2" " 8. kerület, Baross utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA
"10" "54.9" "60" "2" " 7. kerület, Belso-Erzsébetváros " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" "van" NA NA
"11" "36.9" "52" "3" " 23. kerület, Szitás utca " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "padlófutés, falfutés" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
"12" "35.5" "52" "3" " 23. kerület, Szitás utca " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "padlófutés, falfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
