"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "lakopark_neve" "parkolohely_ara"
"1" "31.49" "37" "1" " 2. kerület, Pasarét " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA NA
"2" "115.5" "123" "3" " 12. kerület, Mártonhegy " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "12 m²" NA NA NA
"3" "29.9" "53" "2" " 4. kerület, Nyár utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"4" "39.5" "39" "2" " 12. kerület, Krisztinaváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "148.9" "104" "3" " 5. kerület, Báthory utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "39.9" "39" "1" " 6. kerület, Eötvös utca " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"7" "147" "95" "2" " 1. kerület, Úri utca " "felújított" "1950 elott" "luxus" "nincs megadva" "szuterén" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nem" "nincs megadva" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"8" "24.9" "34" "1" " 9. kerület, Gyáli út " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA
"9" "54.49" "81" "3" " 13. kerület, Népfürdo utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület" "6 m²" "nincs megadva" NA NA
"10" "41.9" "55" "2" " 22. kerület, Budafok " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "3 m²" NA NA NA
"11" "54.49" "81" "3" " 13. kerület, Népfürdo utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület" "6 m²" "nincs megadva" NA NA
"12" "28.5" "52" "2" " 3. kerület, Csillaghegy " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"13" "29.04" "34" "1" " 13. kerület, Greenside " "új építésu" "2020" "nincs megadva" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.8 m²" NA "Greenside" "3.2 M Ft"
"14" "26.59" "51" "2" " 8. kerület, Szigony utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" "nincs megadva" NA NA
"15" "36" "39" "1" " 8. kerület, Józsefváros – Corvinnegyed " "felújított" NA "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "32.5" "53" "3" " 3. kerület, Csillaghegy " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"17" "115.5" "123" "3" " 12. kerület, Csorna utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "12 m²" NA NA NA
"18" "35.8" "48" "3" " 3. kerület, Óbudai lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "3 m²" "nincs megadva" NA NA
"19" "33.9" "66" "3" " 3. kerület, Vörösvári út " "közepes állapotú" NA "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "4 m²" "részt vett" NA NA
"20" "39.4" "60" "2" " 4. kerület, Chinoin utca 8. " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "7 m²" NA NA "2 M Ft"
