"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "rezsikoltseg"
"1" "39.9" "66" "3" " 3. kerület, Szentendrei út " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"2" "34.7" "42" "2" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "észak" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"3" "19.9" "47" "2" " 20. kerület, Pacsirtatelep " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északnyugat" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" "9 m²" NA
"4" "125" "115" "5" " 6. kerület, Teréz körút " "felújított" NA "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "nincs megadva" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA
"5" "42.33" "66" "3" " 3. kerület, Ágoston utca " "felújított" NA "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület" "4 m²" NA
"6" "21.89" "35" "1" " 18. kerület, Havanna-lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"7" "59.18" "78" "3" " 7. kerület, Nefelejcs utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "4 m²" "17 000 Ft/hó"
"8" "27.9" "53" "2" " 18. kerület, Tövishát utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "30 000 Ft/hó"
"9" "38.9" "68" "3" " 13. kerület, Angyalföld " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "3 m²" NA
"10" "42.33" "66" "2" " 3. kerület, Ágoston utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" NA
