"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram"
"1" "36" "44" "2" " 19. kerület, Rákos utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "25 000 Ft/hó" "nem" "egy helyiségben" "dél" "utcai" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"2" "72.9" "67" "2" " 9. kerület, Boráros tér 2. " "felújított" "1950 elott" "összkomfortos" "AA" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "30 000 Ft/hó" "nem" "külön helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"3" "104.9" "94" "2" " 7. kerület, Rákóczi út 10. " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" NA "nincs megadva" "egy helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"4" "44" "48" "2" " 11. kerület, Karcag utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs" NA "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "5 m²" NA
"5" "53" "64" "2" " 9. kerület, Ülloi út 115/B. " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "13 400 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA
"6" "69" "71" "2" " 13. kerület, Váci út " "felújított" "1950 elott" "luxus" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "házközponti, elektromos" "nincs" "28 000 Ft/hó" "nincs megadva" "külön és egyben is" "kelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA
"7" "35.9" "49" "2" " 11. kerület, Bükköny utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés, távfutés egyedi méréssel" "van" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva"
"8" "24.5" "53" "2" " 10. kerület, Korösi Csoma Sándor út " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "25 000 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" NA "utca, közterület - ingyenes" "7 m²" NA
"9" "26.5" "37" "1" " 15. kerület, Erdokerülo utca " "felújított" NA "nincs megadva" "nincs megadva" "9" "10" "van" "nincs megadva" "házközponti" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "3 m²" "nincs megadva"
"10" "22.99" "40" "1" " 21. kerület, Orion utca 5. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" NA
