"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "parkolohely_ara"
"1" "36.9" "53" "2" " 14. kerület, Paskál köz " "jó állapotú" "1950-1980 között" "összkomfortos" "AA" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor), elektromos" "van" "15 000 Ft/hó" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
"2" "56.9" "95" "3" " 19. kerület, Ady Endre út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "30 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "igen" "nincs megadva" "nincs megadva" NA NA
"3" "88" "114" "4" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"4" "49.7" "78" "2" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "északkelet" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"5" "133" "148" "5" " 6. kerület, Eötvös utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "24 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"6" "26.9" "34" "1" " 14. kerület, Thököly út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs" NA "nincs megadva" "egy helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"7" "33.9" "60" "2" " 9. kerület, József Attila-lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "dél" "panorámás" "4 m²" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"8" "98.9" "94" "4" " 5. kerület, Október 6. utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "5" "van" "nincs megadva" "nincs megadva" "van" NA "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"9" "29.2" "30" "1" " 7. kerület, Thököly út " "felújított" "1950-1980 között" "komfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "20 000 Ft/hó" "nem" "külön helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"10" "27.2" "51" "2" " 3. kerület, Búza utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés" "nincs" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "2 m²" "nincs megadva" "nincs megadva" "utca, közterület" "nem vett részt" NA
