"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "39.5" "36" "1" " 3. kerület, Nagyszombat utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "utcai" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "34.1" "40" "1" " 8. kerület, Fecske utca 22. " "újszeru" "2019" "összkomfortos" "AA+" "3" "8" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "igen" "egy helyiségben" "nyugat" "utcai" "4.59 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "4.46 M Ft" NA NA
"3" "32.5" "68" "3" " 4. kerület, Intarzia utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "dél" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "35 000 Ft/hó" "nincs megadva"
"4" "99" "160" "6" " 5. kerület, Bajcsy-Zsilinszky út 74. " "felújított" NA "duplakomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA
"5" "25" "26" "1" " 7. kerület, Cserhát utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "27.5" "32" "1" " 3. kerület, Zápor utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" NA "30 000 Ft/hó" NA
"7" "35.95" "44" "1" " 6. kerület, Lehel utca 5. " "felújított" NA "luxus" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "25.8" "26" "1" " 7. kerület, Péterfy Sándor utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "39" "44" "1" " 11. kerület, Budafoki út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "28" "57" "2" " 20. kerület, Attila utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA "részt vett"
"11" "76" "85" "2" " 7. kerület, Dohány utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"12" "27.9" "35" "2" " 8. kerület, Józsefváros – Csarnoknegyed " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"13" "24.9" "24" "1" " 7. kerület, Nefelejcs utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "15 000 Ft/hó" NA
"14" "39.9" "56" "2" " 14. kerület, Alsórákos " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"15" "34.5" "32" "1" " 11. kerület, Kelenföldi lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "nincs megadva"
"16" "23" "38" "1" " 14. kerület, Amerikai út " "felújítandó" NA "nincs megadva" "nincs megadva" "szuterén" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"17" "29.9" "35" "1" " 7. kerület, Huszár utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA "7 800 Ft/hó" NA
"18" "59" "93" "4" " 11. kerület, Dombóvári út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "északkelet" "utcai" "1 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"19" "76.75" "92" "3" " 2. kerület, Lorántffy Zsuzsanna lépcso " "nincs megadva" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "udvari" "7.7 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"20" "57.9" "69" "2" " 6. kerület, Aradi utca " "felújított" NA "duplakomfortos" "BB" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA NA
