"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "legkondicionalo"
"1" "165" "137" "4" " 2. kerület, Kurucles " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "2" "van" "3 m vagy magasabb" "gáz (cirko)" "120 000 Ft/hó" "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" "56 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "5 M Ft" NA NA
"2" "34.8" "33" "1" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "23" "35" "2" " 4. kerület, Závodszky Zoltán utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA
"4" "39.9" "39" "1" " 12. kerület, Istenhegyi út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "egy helyiségben" "dél" "kertre nézo" NA "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs"
"5" "59" "118" "3" " 8. kerület, Kerepesi út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"6" "30.9" "53" "2" " 11. kerület, Koérberek – Tóváros " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "8 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "29.99" "49" "2" " 14. kerület, Szugló utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön helyiségben" "délkelet" "udvari" "4 m²" "nem" "nincs megadva" "udvari beálló - benne van az árban" NA NA "nincs"
"8" "31.99" "50" "2" " 11. kerület, Etele út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" NA
"9" "24" "37" "1" " 4. kerület, Újpest-Központ " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "igen" "egy helyiségben" "északkelet" "nincs megadva" NA "nem" "nincs megadva" "nincs megadva" NA NA NA
"10" "67.89" "71" "3" " 1. kerület, Tabán " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "északkelet" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"11" "122" "99" "3" " 1. kerület, Víziváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "2" "van" "nincs megadva" "gáz (cirko)" "21 000 Ft/hó" "nincs megadva" "nincs megadva" "nyugat" "utcai" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "100" "112" "4" " 2. kerület, Felhévíz " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" "8 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"13" "28.8" "48" "2" " 3. kerület, Szentendrei út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "5 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs megadva" NA
"14" "49.9" "63" "2" " 12. kerület, Krisztinaváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "észak" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"15" "55.5" "119" "4" " 1. kerület, Víziváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "51 000 Ft/hó" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" NA "igen" "nincs megadva" "nincs megadva" NA NA NA
"16" "28.99" "33" "1" " 7. kerület, Dohány utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "3" "nincs" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"17" "80" "85" "2" " 13. kerület, Szent István körút " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "9 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"18" "22.99" "49" "2" " 10. kerület, Kobánya – Újhegyi lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "3.5 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nem vett részt" NA
"19" "32.5" "40" "1" " 7. kerület, Marek József utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "elektromos, egyéb" NA "nem" "egy helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs"
"20" "28.9" "51" "2" " 8. kerület, Józsefváros – Corvinnegyed " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA "nincs megadva" "nincs"
