"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "parkolohely_ara"
"1" "35.5" "41" "1" " 17. kerület, Borsó utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "van" "nincs megadva" "gáz (cirko)" "van" "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "6 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"2" "23.9" "50" "2" " 18. kerület, Riesz Frigyes utca 6. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" NA "utca, közterület" NA NA
"3" "54.9" "47" "1" " 6. kerület, Paulay Ede utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "van" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"4" "36.9" "38" "2" " 9. kerület, Ferenc körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "10 000 Ft/hó" "igen" "nincs megadva" "dél" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"5" "74.9" "123" "3" " 2. kerület, II/A kerület – Máriaremete " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "udvari beálló" NA NA
"6" "220" "170" "4" " 5. kerület, Pilvax köz " "felújított" "1950 elott" "luxus" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "van" NA "igen" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA
"7" "32.9" "54" "2" " 11. kerület, Kelenföld " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "házközponti" NA NA "nem" "egy helyiségben" "nincs megadva" "panorámás" "6 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" NA
"8" "59.99" "65" "3" " 12. kerület, Eötvös út " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" NA "nincs megadva" "nincs megadva" "udvari beálló" NA NA
"9" "41.5" "65" "2" " 4. kerület, Báthory utca " "felújított" NA "duplakomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "6 m²" "igen" "nincs megadva" "utca, közterület" NA NA
"10" "23.8" "53" "1" " 20. kerület, Baross utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" NA "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"11" "29.5" "53" "1" " 7. kerület, Damjanich utca " "felújítandó" "1950-1980 között" "komfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "35 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"12" "49.8" "60" "3" " 8. kerület, Mátyás tér " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"13" "26.99" "51" "2" " 3. kerület, Zsirai Miklós utca 3. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" NA "igen" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" NA
"14" "39.9" "76" "3" " 8. kerület, Józsefváros – Csarnoknegyed " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "dél" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"15" "25.9" "43" "1" " 16. kerület, Újszász utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "25 000 Ft/hó" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
"16" "96.9" "80" "3" " 13. kerület, Angyalföld " "újszeru" "2018" "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, fan-coil" "van" NA "igen" "külön és egyben is" "délkelet" "kertre nézo" "90 m²" "nincs megadva" "penthouse" "teremgarázs hely - kötelezo megvenni" NA "2.5 M Ft"
"17" "23" "30" "1" " 8. kerület, Józsefváros – Palotanegyed " "közepes állapotú" NA "komfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "délnyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"18" "22.9" "42" "1" " 8. kerület, Józsefváros – Orczynegyed " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "elektromos" "nincs" NA "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"19" "38" "27" "1" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "felújított" "1950 elott" "komfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "elektromos" NA NA "nem" "nincs megadva" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"20" "86.6" "105" "3" " 8. kerület, Mátyás tér " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "10 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
