"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram"
"1" "59.5" "65" "3" " 11. kerület, Péterhegy " "jó állapotú" "2019" "összkomfortos" "nincs megadva" "2" "2" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "18 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA
"2" "27.49" "60" "2" " 18. kerület, Havanna utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "12 000 Ft/hó" "részt vett"
"3" "28.9" "33" "1" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"4" "25.5" "24" "1" " 12. kerület, Hajnóczy József utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"5" "26.99" "53" "2" " 19. kerület, Zrínyi utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "délkelet" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva"
"6" "26.8" "53" "2" " 4. kerület, Árpád út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "külön helyiségben" "dél" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nem vett részt"
"7" "108.9" "93" "2" " 5. kerület, Apáczai Csere János utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "nincs megadva" NA "nem" "nincs megadva" "délnyugat" "panorámás" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"8" "59.99" "76" "3" " 6. kerület, Bajnok utca 12. " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "cserépkályha" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"9" "109" "123" "3" " 2. kerület, Árpád fejedelem útja " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"10" "27.55" "54" "2" " 15. kerület, Neptun utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva"
"11" "27.4" "50" "1" " 22. kerület, Háros utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "egy helyiségben" "északkelet" "udvari" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "30 000 Ft/hó" NA
"12" "30.9" "60" "2.5" " 18. kerület, Havanna-lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "42 000 Ft/hó" "nincs megadva"
"13" "26.6" "53" "2" " 18. kerület, Havanna utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva"
"14" "36" "41" "1" " 13. kerület, Katona József utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"15" "44.99" "54" "1" " 13. kerület, Angyalföld – Országbíró utcai lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "2 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"16" "55.9" "62" "2" " 2. kerület, Frankel Leó út " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület" NA NA
"17" "89.9" "126" "5" " 3. kerület, Gémeskút utca " "közepes állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "18 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"18" "132" "212" "3" " 2. kerület, Bimbó út " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "47 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"19" "62.9" "97" "4" " 16. kerület, Ómátyásföld " "felújított" NA "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "külön és egyben is" "dél" "panorámás" "6 m²" "nem" NA "udvari beálló - benne van az árban" "30 000 Ft/hó" NA
"20" "134.99" "105" "3" " 7. kerület, Belso-Erzsébetváros " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
