"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "epites_eve" "legkondicionalo" "parkolohely_ara" "rezsikoltseg"
"1" "43.3" "75" "3" " 4. kerület, Újpest-Kertváros " "felújított" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko), padlófutés" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "23 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"2" "25.6" "27" "1" " 3. kerület, Kadosa utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "28.5" "46" "1" " 14. kerület, Fogarasi út " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "1981-2000 között" NA NA NA
"4" "25" "125" "3" " 13. kerület, Csanády utca " "jó állapotú" "duplakomfortos" "AA" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "panorámás" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA "1950 elott" "nincs" NA NA
"5" "20.9" "28" "1" " 13. kerület, Lomb utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nem" "egy helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA "1950-1980 között" "nincs" NA NA
"6" "55.49" "54" "1" " 5. kerület, Lipótváros " "közepes állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "1950 elott" NA NA NA
"7" "39" "54" "1" " 10. kerület, Kobánya-Városközpont " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "4 m²" "nincs megadva" NA "nincs megadva" NA "1981-2000 között" NA NA NA
"8" "34.9" "49" "2" " 13. kerület, Újlipótváros – Kleopátraház " "felújítandó" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "1981-2000 között" NA NA NA
"9" "71.9" "105" "3" " 3. kerület, Rómaifürdo " "nincs megadva" "nincs megadva" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "8 m²" "nem" "nincs megadva" "teremgarázs hely" NA "2001-2010 között" NA NA NA
"10" "25.49" "53" "2" " 17. kerület, Pesti út 39. " "felújított" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "5.2 m²" "nem" "legfelso emelet, nem tetotéri" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA NA
"11" "59.4" "66" "3" " 3. kerület, Testvérhegy – Óbuda-lakókert " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "délkelet" "kertre nézo" "7 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" NA "2001-2010 között" "van" "3 M Ft" NA
"12" "119.9" "120" "4" " 5. kerület, Belváros " "jó állapotú" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "kelet" "utcai" "28 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"13" "34.9" "54" "2" " 14. kerület, Alsórákos " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "1950-1980 között" NA NA NA
