"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "22.5" "54" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"2" "59.9" "94" "3" " 14. kerület, Rózsavölgyi tér " "jó állapotú" NA "duplakomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "kertre nézo" "5 m²" "igen" "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA
"3" "134.9" "196" "4" " 2. kerület, Frankel Leó út " "felújított" NA "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "6 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" "van" NA NA
"4" "75" "96" "2" " 3. kerület, Erdoalja út " "újszeru" "2018" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nem" "egy helyiségben" "nyugat" "panorámás" NA "nem" "nem tetotéri" NA "nincs megadva" NA NA NA
"5" "85" "83" "2" " 6. kerület, Király utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "dél" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" NA NA NA
"6" "24.89" "56" "2" " 21. kerület, Csepel-Belváros " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nincs megadva" "nem vett részt" "utca, közterület - ingyenes" "nincs" "25 000 Ft/hó" NA
"7" "84.9" "148" "6" " 14. kerület, Dózsa György út " "felújított" NA "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "udvari beálló - bérelheto" NA NA "2 000 Ft/hó"
"8" "76" "49" "1" " 1. kerület, Döbrentei tér 16. " "felújított" NA "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "nincs megadva" "nem" "nincs megadva" "kelet" "panorámás" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA
"9" "37.9" "82" "3" " 15. kerület, Rákospalota " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "22 m²" "nem" "tetotéri" NA "udvari beálló - benne van az árban" NA "25 000 Ft/hó" NA
"10" "28.8" "51" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "felújított" NA "nincs megadva" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "részt vett" "utca, közterület" NA NA NA
