"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "panelprogram"
"1" "61.99" "72" "3" " 13. kerület, Madarász Viktor utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "25 000 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "6 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3.9 M Ft" NA NA
"2" "36.75" "41" "2" " 10. kerület, Újhegy – Rózsaliget-lakópark " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA "van" NA
"3" "51.9" "36" "1" " 5. kerület, Váci utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "elektromos" NA "nem" "külön helyiségben" "északnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA
"4" "121" "124" "4" " 14. kerület, Alsórákos " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön és egyben is" "délnyugat" "utcai" "36.96 m²" "nem" "nem tetotéri" "udvari beálló - megvásárolható" NA "nincs" NA
"5" "144" "116" "6" " 5. kerület, Kecskeméti utca " "felújított" NA "luxus" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "van" NA
"6" "51.19" "52" "2" " 14. kerület, Alsórákos " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "igen" "külön helyiségben" "délnyugat" "utcai" "10.78 m²" "nem" "nem tetotéri" "udvari beálló - megvásárolható" NA "nincs" NA
"7" "39.9" "44" "2" " 7. kerület, Dohány utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"8" "30.9" "31" "1" " 6. kerület, Dessewffy utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "udvari" NA "nem" "nincs megadva" "utca, közterület" NA NA NA
"9" "54.9" "52" "1" " 5. kerület, Kossuth Lajos utca " "felújított" NA "nincs megadva" "nincs megadva" "3" "4" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"10" "78" "65" "3" " 5. kerület, Arany János utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "padlófutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"11" "39.9" "44" "2" " 7. kerület, Dohány utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "28.55" "50" "1" " 14. kerület, Bíbor utca " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "délnyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"13" "28.8" "34" "1" " 7. kerület, Murányi utca " "nincs megadva" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"14" "6.2" "26" "1" " 13. kerület, Petneházy utca " "jó állapotú" "1950 elott" "komfortos" "AA++" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "7 900 Ft/hó" "nem" "egy helyiségben" "északnyugat" "udvari" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA
