"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram"
"1" "52" "94" "3" " 19. kerület, Corvin körút " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "76.9" "79" "3" " 5. kerület, Szabadság tér " "újszeru" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "van" "30 000 Ft/hó" NA NA
"3" "330" "160" "4" " 2. kerület, Pitypang utca " "újszeru" "2011" "luxus" "nincs megadva" "földszint" "2" "van" "nincs megadva" "fan-coil, padlófutés" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "igen" "nincs megadva" "teremgarázs hely - benne van az árban" "van" NA "30 m²" NA
"4" "71.9" "104" "3" " 6. kerület, Kmety György utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"5" "27.3" "45" "2" " 19. kerület, Álmos utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület" "nincs" NA NA NA
"6" "200" "160" "3" " 7. kerület, Belso-Erzsébetváros " "újszeru" "1950-1980 között" "luxus" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "igen" "nem tetotéri" "nincs megadva" "van" NA "4 m²" NA
"7" "90" "98" "4" " 3. kerület, Rómaifürdo – Rómaipart " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "igen" "nem tetotéri" "nincs megadva" "van" NA "47.5 m²" NA
"8" "33" "39" "1" " 16. kerület, Árpádföld " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "5 m²" NA
"9" "66.9" "72" "2" " 11. kerület, Vásárhelyi Pál utca " "jó állapotú" NA "duplakomfortos" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"10" "135" "70" "2" " 6. kerület, Jókai tér " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "van" NA NA NA
