"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"1" "20" "54" "1" " 10. kerület, Sörgyár utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs" "nincs megadva" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
"2" "29.5" "44" "1" " 10. kerület, Zágrábi utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "40 000 Ft/hó" "2 m²" NA NA
"3" "27" "35" "1" " 4. kerület, Rózsa utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "egy helyiségben" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "25 000 Ft/hó" NA "nincs megadva" NA
"4" "59" "60" "2" " 13. kerület, Szent László út " "újszeru" "2015" "luxus" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "délkelet" "panorámás" "nem" "tetotéri" "teremgarázs hely - megvásárolható" NA "10 m²" NA "3.5 M Ft"
"5" "29.85" "42" "1" " 9. kerület, Bokréta utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "28.5" "36" "1" " 9. kerület, Haller utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "nincs megadva" NA
"7" "47.9" "66" "3" " 13. kerület, Fáy utca 65. " "újszeru" "2019" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "külön és egyben is" "délkelet" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" NA "4 m²" NA NA
"8" "75" "84" "3" " 11. kerület, Kanizsai utca 3/a " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "dél" "panorámás" "nem" "tetotéri" "utca, közterület - fizetos övezet" "40 000 Ft/hó" "9 m²" NA NA
"9" "26.9" "34" "1" " 14. kerület, Herminamezo " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "egyéb" "nincs" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"10" "26.9" "59" "2" " 19. kerület, Hungária út " "közepes állapotú" "1950 elott" "komfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "nincs" "nem" "egy helyiségben" "északnyugat" "utcai" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA
