"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram"
"1" "25.5" "52" "2" " 10. kerület, Kozma utca 15. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "30 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "3 m²" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA
"2" "42" "47" "1" " 13. kerület, Tátra utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "10 000 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA
"3" "89.9" "97" "3" " 8. kerület, Kiss József utca 7. " "felújított" "2001-2010 között" "duplakomfortos" "nincs megadva" "4" "5" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"4" "25.5" "28" "2" " 8. kerület, Tavaszmezo utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"5" "63.9" "71" "2" " 12. kerület, Dolgos utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"6" "56" "58" "2" " 12. kerület, Zirzen Janka utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "17 590 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"7" "25.2" "48" "2" " 15. kerület, Bethlen Gábor utca 46. " "felújítandó" "1950 elott" "komfortos" "GG" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "25 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "utcai" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA
"8" "36" "42" "2" " 13. kerület, Visegrádi utca 12. " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "16 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA
"9" "155.2" "130" "4.5" " 6. kerület, Belso-Terézváros " "újszeru" "2019" "luxus" "nincs megadva" "2" "5" "nincs megadva" "3 m-nél alacsonyabb" "hoszivattyú, padlófutés" NA "igen" "külön és egyben is" "nincs megadva" "nincs megadva" "34.33 m²" "nincs megadva" "nem tetotéri" "utca, közterület" "van" NA
"10" "36.9" "50" "2" " 11. kerület, Bánk bán utca " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "10 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "nincs" NA
