"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "lakopark_neve" "parkolohely_ara"
"1" "91.9" "93" "3" " 13. kerület, Jász utca 36. " "új építésu" "2019" "összkomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "északnyugat" "panorámás" "115 m²" "nem" "penthouse" "teremgarázs hely - benne van az árban" NA NA NA NA NA
"2" "19.8" "42" "2" " 21. kerület, Csepel-Belváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA NA
"3" "46.9" "48" "1" " 9. kerület, Vendel utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délnyugat" "udvari" "16.34 m²" "igen" "nincs megadva" "nincs megadva" "nincs" "12 000 Ft/hó" NA NA NA
"4" "18.9" "46" "1" " 21. kerület, Árpád utca 6 a " "felújítandó" NA "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "nincs megadva" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "nem vett részt" NA NA
"5" "20.9" "55" "2" " 21. kerület, Völgy utca 15. " "felújítandó" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "nem vett részt" NA NA
"6" "31.5" "50" "1" " 11. kerület, Savoya Ház " "új építésu" "2020" "összkomfortos" "A+" "7" "7" "van" "3 m vagy magasabb" "hoszivattyú" "igen" "egy helyiségben" "nyugat" "nincs megadva" NA "nem" "nem tetotéri" "önálló garázs - megvásárolható" "van" "10 000 Ft/hó" NA "Savoya Ház" "3 M Ft"
"7" "139.5" "124" "4" " 11. kerület, Medvetalp utca " "új építésu" "2020" "luxus" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "70 m²" "igen" "nincs megadva" "teremgarázs hely" "van" NA NA NA NA
"8" "66.8" "76" "3" " 13. kerület, Csángó utca 21/b " "új építésu" "2020" "nincs megadva" "nincs megadva" "1" "4" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "8 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA NA NA "2.9 M Ft"
"9" "76.5" "105" "3" " 7. kerület, Király utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület" "van" NA NA NA NA
"10" "125.9" "91" "2" " 5. kerület, Nádor utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA "30 000 Ft/hó" NA NA NA
"11" "139.9" "81" "2" " 5. kerület, Deák Ferenc utca 17. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "északnyugat" "panorámás" "10 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA NA NA NA
"12" "34.2" "28" "1" " 11. kerület, Sasad Liget V. ütem " "új építésu" "2017" "nincs megadva" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "udvari" "6.66 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "Sasad Liget V. ütem" NA
"13" "58.65" "60" "3" " 11. kerület, Rozsdafarkú utca " "nincs megadva" "2021" "nincs megadva" "nincs megadva" "1" "3" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "18 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" NA NA NA NA "4 M Ft"
"14" "40.99" "51" "1" " 8. kerület, Józsefváros – Ganznegyed " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"15" "47.9" "50" "1" " 6. kerület, Oktogon " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "elektromos, cserépkályha" "nem" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA NA
"16" "199" "123" "2" " 5. kerület, Aulich utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "30 000 Ft/hó" NA NA NA
"17" "45.9" "48" "2" " 7. kerület, Király utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "nincs" NA NA NA NA
"18" "159" "180" "5" " 2. kerület, Napvirág utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "nincs megadva" "4" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "panorámás" "5 m²" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "van" NA NA NA NA
"19" "77.2" "92" "4" " 4. kerület, Csíksomlyó utca " "felújított" "2001-2010 között" "duplakomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "8 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA NA
"20" "65.9" "90" "2" " 7. kerület, Wesselényi utca " "felújított" NA "duplakomfortos" "nincs megadva" "nincs megadva" "5" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "dél" "utcai" "1 m²" "nem" "nem tetotéri" "utca, közterület" "nincs" "17 000 Ft/hó" NA NA NA
