"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas"
"1" "34.5" "59" "2" " 22. kerület, Leányka utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "25 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes"
"2" "77" "77" "2" " 13. kerület, Pozsonyi út " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "7" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet"
"3" "59.9" "82" "2" " 7. kerület, Dohány utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" NA "utca, közterület"
"4" "28" "51" "2" " 3. kerület, Lukács György utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA NA "igen" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes"
"5" "36.9" "49" "2" " 11. kerület, Albertfalva " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" NA "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes"
"6" "48.9" "68" "3" " 14. kerület, Egressy út " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" NA "nincs megadva"
"7" "29.9" "50" "3" " 9. kerület, Szerkocsi utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nem" "egy helyiségben" "dél" "kertre nézo" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet"
"8" "28.5" "27" "1" " 7. kerület, Marek József utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "elektromos" NA NA "nem" "egy helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet"
"9" "45.9" "46" "1" " 1. kerület, Ostrom utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "dél" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva"
"10" "75" "84" "3" " 11. kerület, Kelenföld " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "dél" "panorámás" "9 m²" "nem" "tetotéri" NA "nincs megadva"
"11" "73" "64" "2" " 6. kerület, Belso-Terézváros " "jó állapotú" "1981-2000 között" "komfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" NA "utca, közterület"
"12" "73.7" "78" "3" " 11. kerület, Szentimreváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m vagy magasabb" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "északkelet" "kertre nézo" "3 m²" "nincs megadva" "nem tetotéri" NA "utca, közterület"
"13" "55.9" "60" "2" " 5. kerület, Lipótváros " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA NA "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" NA "nincs megadva"
"14" "29.9" "51" "3" " 17. kerület, Újlak utca " "közepes állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva"
"15" "41.9" "52" "2" " 14. kerület, Bolgárkerék utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" NA NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "2 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva"
