"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "legkondicionalo" "rezsikoltseg" "erkely" "parkolohely_ara"
"1" "53.8" "42" "2" " 7. kerület, Dob utca 61. " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "43.5" "87" "2" " 9. kerület, Középso-Ferencváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "cserépkályha" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"3" "37.6" "56" "3" " 13. kerület, Angyalföldi út " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "29.9" "40" "1" " 11. kerület, Szerémi sor " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"5" "30.8" "72" "3" " 20. kerület, Erzsébetfalva – Pesterzsébeti lakótelep " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" "nincs" "16 500 Ft/hó" "4 m²" NA
"6" "59.9" "60" "2" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"7" "53.9" "59" "3" " 13. kerület, Frangepán köz " "újszeru" "2001-2010 között" "duplakomfortos" "AA" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "7.5 m²" NA
"8" "119" "160" "5" " 9. kerület, Ferenc körút " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "nincs" NA NA NA
"9" "35.7" "42" "2" " 14. kerület, Herminamezo " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"10" "35.7" "42" "2" " 14. kerület, Herminamezo " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"11" "45.9" "58" "1" " 8. kerület, II. János Pál pápa tér " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "észak" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA NA NA
"12" "76.9" "90" "3" " 12. kerület, Thomán István utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "14 000 Ft/hó" "12 m²" NA
"13" "20.9" "27" "1" " 4. kerület, Závodszky Zoltán utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA NA NA NA
"14" "56.26" "63" "2" " 8. kerület, Gyorffy István utca " "újszeru" "2020" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "egy helyiségben" "észak" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA "van" NA "4 m²" "4.2 M Ft"
"15" "86.3" "91" "3" " 3. kerület, Ürömhegy " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "fan-coil" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA "6 m²" NA
"16" "89" "94" "3" " 3. kerület, Ürömhegy " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "fan-coil" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA "6 m²" NA
"17" "84.2" "89" "3" " 3. kerület, Ürömhegy " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "fan-coil" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA "6 m²" NA
"18" "44.8" "57" "2" " 6. kerület, Izabella utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA NA NA
"19" "137" "145" "4" " 3. kerület, Ürömhegy " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "fan-coil" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "igen" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA NA "10 m²" NA
"20" "59.9" "60" "2" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
