"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "128.9" "162" "4" " 5. kerület, Apáczai Csere János utca 5. " "felújítandó" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön és egyben is" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"2" "96.9" "83" "3" " 13. kerület, Tom Lantos sétány " "újszeru" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "2015" "38 m²" NA NA NA NA
"3" "61" "60" "3" " 13. kerület, Vizafogó " "nincs megadva" "összkomfortos" "nincs megadva" "4" "8" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "nincs megadva" "délkelet" "udvari" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" "2019" "13 m²" NA NA NA NA
"4" "46.99" "45" "2" " 6. kerület, Külso-Terézváros " "felújított" "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA NA NA
"5" "27.9" "59" "2" " 21. kerület, Kossuth Lajos utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" NA "nincs" "30 000 Ft/hó" "részt vett" NA
"6" "33.2" "58" "2" " 13. kerület, Madarász Viktor utca " "közepes állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "3 m²" NA "35 000 Ft/hó" "nem vett részt" NA
"7" "32.9" "36" "1" " 13. kerület, Angyalföld " "nincs megadva" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "2019" "3 m²" NA NA NA NA
"8" "59.9" "50" "2" " 5. kerület, Kecskeméti utca " "felújított" "nincs megadva" "nincs megadva" "félemelet" "4" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA "25 000 Ft/hó" NA NA
"9" "23.1" "39" "1" " 20. kerület, Török Flóris utca " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"10" "38.9" "42" "1" " 6. kerület, Külso-Terézváros " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA "8 000 Ft/hó" NA NA
"11" "47.9" "82" "2" " 4. kerület, Tóth Aladár utca " "felújított" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "északkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" "4 m²" NA NA "nincs megadva" NA
"12" "56.9" "92" "2" " 18. kerület, Krepuska Géza-telep " "újszeru" "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön és egyben is" "délnyugat" "panorámás" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "2001-2010 között" "27 m²" "van" NA NA "3.5 M Ft"
