"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "erkely" "rezsikoltseg" "lakopark_neve"
"11" "118" "136" "3" " 11. kerület, Csenger utca " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "dél" "panorámás" "igen" "nincs megadva" "teremgarázs hely - benne van az árban" "van" NA "12.47 m²" NA NA
"12" "158.4" "77" "2" " 1. kerület, Lánchíd utca " "új építésu" "1950-1980 között" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "Lánchíd utca"
"13" "45.5" "65" "3" " 11. kerület, Bártfai utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" "4 m²" NA NA
"14" "26.5" "47" "2" " 9. kerület, Toronyház utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA NA
"15" "35.9" "48" "2" " 3. kerület, Óbudai lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés" "igen" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA "nincs megadva" "4 m²" NA NA
"16" "31.9" "76" "2" " 8. kerület, Teleki László tér " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "cserépkályha" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA
"17" "74.9" "76" "3" " 13. kerület, Újlipótváros – Cézárház " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA NA
"18" "31.9" "55" "2" " 14. kerület, Kaffka Margit utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"19" "73.9" "93" "3" " 3. kerület, Óbuda-Óváros " "felújított" NA "duplakomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "nincs megadva" NA NA NA "20 000 Ft/hó" NA
"20" "74.9" "113" "3" " 9. kerület, Lónyay utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "2 m²" NA NA
