"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "erkely" "parkolohely_ara"
"11" "84.9" "88" "2" " 5. kerület, Belváros " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "külön és egyben is" "dél" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA NA
"12" "94.5" "93" "3" " 2. kerület, Országút " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"13" "38.9" "52" "2" " 14. kerület, Kiszugló " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "32 000 Ft/hó" "nem" "külön helyiségben" "kelet" "udvari" "nem" "nem tetotéri" NA "udvari beálló - benne van az árban" "van" "3 m²" NA
"14" "65" "90" "3" " 14. kerület, Bácskai utca 20. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "igen" "külön helyiségben" "északkelet" "utcai" "igen" "nem tetotéri" NA "utca, közterület - ingyenes" "van" "8 m²" NA
"15" "23.9" "50" "1" " 21. kerület, Táncsics Mihály utca 85. " "felújított" "1981-2000 között" "komfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "északnyugat" "udvari" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA NA
"16" "139" "98" "3" " 13. kerület, Vígszínház utca " "felújított" "1950 elott" "luxus" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "50 000 Ft/hó" "igen" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" NA "nincs megadva" "van" NA NA
"17" "228" "193" "4" " 2. kerület, Vöröstorony lejto " "felújított" "1981-2000 között" "luxus" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "50 000 Ft/hó" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "igen" "nincs megadva" NA "önálló garázs - benne van az árban" NA "60 m²" NA
"18" "160" "197" "3" " 2. kerület, Frankel Leó út " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "külön és egyben is" "dél" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "van" "6 m²" NA
"19" "157" "147" "5" " 3. kerület, Héthalom utca " "újszeru" "2019" "luxus" "AA+" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" NA "nem" "külön és egyben is" "délnyugat" "panorámás" "igen" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "van" "53 m²" "5 M Ft"
"20" "139" "136" "4" " 3. kerület, Héthalom utca " "újszeru" "2019" "luxus" "AA+" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" NA "nem" "külön és egyben is" "dél" "panorámás" "igen" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "nincs" "74 m²" "5 M Ft"
