"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "legkondicionalo" "rezsikoltseg"
"1" "29.99" "67" "2" " 4. kerület, Szabolcsi Bence tér " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"2" "30" "53" "2" " 4. kerület, Újpesti lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" NA NA
"3" "25.79" "53" "2" " 10. kerület, Lavotta utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "3 m²" "van" NA
"4" "41" "46" "2" " 9. kerület, Thaly Kálmán utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"5" "32.99" "64" "3" " 18. kerület, Gloriett-lakótelep " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" NA NA "utca, közterület - ingyenes" NA "van" NA
"6" "47.3" "74" "2" " 7. kerület, Rákóczi út " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA
"7" "89" "170" "5" " 8. kerület, Józsefváros – Csarnoknegyed " "felújítandó" "1950 elott" "duplakomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "9 m²" NA NA
"8" "24.9" "23" "1" " 6. kerület, Szinyei Merse Pál utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "egy helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA
"9" "38" "42" "1" " 6. kerület, Lendvay utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" "8 m²" NA NA
"10" "53" "131" "4" " 15. kerület, Rákóczi utca " "jó állapotú" "1950-1980 között" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "gáz (cirko), vegyes tüzelésu kazán" "nem" "egy helyiségben" "dél" "udvari" "igen" "nem tetotéri" NA "utca, közterület - ingyenes" NA "van" "50 000 Ft/hó"
