"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "29.9" "33" "1" " 13. kerület, Angyalföld " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "utcai" "7.5 m²" "nem" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "149" "149" "4" " 9. kerület, Thaly Kálmán utca " "nincs megadva" "2018" "luxus" "AA+" "6" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "igen" "egy helyiségben" "nyugat" "panorámás" "62.3 m²" "nem" "penthouse" "teremgarázs hely - megvásárolható" "van" "5.5 M Ft" NA NA
"3" "53.86" "52" "2" " 8. kerület, Bíró Lajos utca " "újszeru" "2019" "összkomfortos" "AA++" "földszint" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "külön helyiségben" "délkelet" "udvari" "12.17 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "van" "3.98 M Ft" NA NA
"4" "19.5" "46" "1" " 21. kerület, Árpád utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "10" "van" "nincs megadva" "házközponti" "igen" "egy helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "20 000 Ft/hó" "nincs megadva"
"5" "63.99" "72" "3" " 13. kerület, Angyalföld " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "délkelet" "utcai" "27.44 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "2.5 M Ft" NA NA
"6" "214" "155" "5" " 5. kerület, Balaton utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "dél" "nincs megadva" "15 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "150" "120" "3" " 2. kerület, Szépvölgyi út " "jó állapotú" NA "duplakomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" "igen" "egy helyiségben" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA "50 000 Ft/hó" NA
"8" "169" "187" "4" " 3. kerület, Remetehegy " "nincs megadva" "2019" "luxus" "A+" "félemelet" "3" "van" "3 m-nél alacsonyabb" "hoszivattyú, megújuló energia" "nincs megadva" "külön és egyben is" "kelet" "panorámás" "12 m²" "igen" "nem tetotéri" "teremgarázs hely" "van" NA NA NA
"9" "175" "206" "6" " 2. kerület, Rézmál " "nincs megadva" "1950 elott" "duplakomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko), gáz (konvektor)" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "36 m²" "nincs megadva" "zárószint" "önálló garázs - megvásárolható" NA "3 M Ft" "50 000 Ft/hó" NA
"10" "49.9" "100" "2" " 1. kerület, Tóth Árpád sétány " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "cserépkályha" "nem" "külön helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA
"11" "62.9" "73" "3" " 13. kerület, Jászai Mari tér " "újszeru" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"12" "135" "99" "3" " 5. kerület, Október 6. utca " "felújított" NA "luxus" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"13" "45.5" "63" "3" " 13. kerület, Angyalföld " "nincs megadva" "2018" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" "7 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA NA NA
"14" "63.2" "67" "3" " 13. kerület, Angyalföld " "nincs megadva" "2017" "nincs megadva" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "megújuló energia" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "27 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA NA NA
"15" "34.9" "50" "2" " 3. kerület, Huszti út " "felújított" "1981-2000 között" "összkomfortos" "AA" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "kelet" "panorámás" "4 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA "40 000 Ft/hó" "részt vett"
"16" "29.9" "50" "2" " 11. kerület, Etele út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "nem vett részt"
"17" "139.9" "73" "3" " 5. kerület, Lipótváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "2.5 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"18" "46.07" "69" "2" " 6. kerület, Eötvös utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "112" "102" "3" " 13. kerület, Angyalföld " "újszeru" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "nincs megadva" "délkelet" "panorámás" "72 m²" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA
"20" "26.99" "38" "2" " 8. kerület, József utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
