"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "48.9" "60" "3" " 4. kerület, Izzó Garden " "Izzó Garden" "új építésu" "2020" "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "23.7 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "2.8 M Ft" NA NA
"2" "29.9" "33" "1" " 4. kerület, Izzó Garden " "Izzó Garden" "új építésu" "2020" "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "12.96 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "2.8 M Ft" NA NA
"3" "48.4" "60" "3" " 4. kerület, Izzó Garden " "Izzó Garden" "új építésu" "2020" "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "22.55 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "2.8 M Ft" NA NA
"4" "47.5" "49" "2" " 13. kerület, Petneházy utca " NA "nincs megadva" "2019" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "5 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"5" "55.5" "73" "3" " 4. kerület, Izzó Garden " "Izzó Garden" "új építésu" "2020" "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "nincs megadva" "északnyugat" "udvari" "26.88 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "2.8 M Ft" NA NA
"6" "47" "60" "3" " 4. kerület, Izzó Garden " "Izzó Garden" "új építésu" "2020" "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "nincs megadva" "északkelet" "udvari" "23.45 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "2.8 M Ft" NA NA
"7" "36.4" "47" "2" " 4. kerület, Izzó Garden " "Izzó Garden" "új építésu" "2020" "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "nincs megadva" "északkelet" "udvari" "17.75 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "2.8 M Ft" NA NA
"8" "36.4" "46" "2" " 4. kerület, Izzó Garden " "Izzó Garden" "új építésu" "2020" "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "nincs megadva" "északkelet" "udvari" "17.1 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "2.8 M Ft" NA NA
"9" "39.5" "53" "2" " 14. kerület, Alsórákos " NA "nincs megadva" "2019" "összkomfortos" "CC" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "egy helyiségben" "délnyugat" "utcai" "10 m²" "igen" "nem tetotéri" "udvari beálló - kötelezo megvenni" "2.8 M Ft" "18 000 Ft/hó" NA
"10" "194" "140" "4" " 3. kerület, Testvérhegy " NA "felújított" "2011" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
