"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "28.7" "53" "2" " 19. kerület, Batthyány utca 6. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"2" "19.8" "41" "1" " 10. kerület, Pongrácz út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"3" "26.99" "31" "1" " 2. kerület, Felhévíz " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "északkelet" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület" "nincs" "15 000 Ft/hó" NA
"4" "42.9" "54" "2" " 10. kerület, Korösi Csoma Sándor út " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "40 m²" "nincs megadva" "tetotéri" NA "nincs megadva" NA NA NA
"5" "29.9" "58" "2" " 16. kerület, Sashalom " "jó állapotú" NA "nincs megadva" "nincs megadva" "4" "4" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" NA "nincs megadva" NA NA "utca, közterület" NA NA NA
"6" "59" "65" "3" " 13. kerület, Angyalföld – Loportárdulo " "nincs megadva" "2018" "luxus" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "egy helyiségben" "kelet" "utcai" "7 m²" "nem" "nem tetotéri" NA "teremgarázs hely" "van" NA NA
"7" "54.9" "74" "3" " 14. kerület, Bácskai utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "utcai" "3 m²" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - ingyenes" "van" "7 000 Ft/hó" NA
"8" "59.99" "62" "3" " 13. kerület, Angyalföld – Loportárdulo " "újszeru" "2018" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "délkelet" "udvari" "7.49 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"9" "54.9" "84" "3" " 13. kerület, Újlipótváros " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"10" "54.9" "60" "3" " 13. kerület, Angyalföld " "jó állapotú" "2011" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön és egyben is" "délnyugat" "nincs megadva" NA "igen" "nem tetotéri" NA "nincs megadva" "nincs" NA NA
