"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "53" "52" "3" " 15. kerület, Vasutaskert " "Vasutaskert" "új építésu" "2020" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön és egyben is" "dél" "panorámás" "40 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "3.2 M Ft" NA NA
"2" "115" "93" "3" " 5. kerület, Apáczai Csere János utca " NA "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"3" "41.9" "53" "2" " 3. kerület, Gyenes utca 1. " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "8" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "40 000 Ft/hó" NA
"4" "40.91" "66" "3" " 19. kerület, Lehel utca 6. " NA "nincs megadva" "2020" "nincs megadva" "nincs megadva" "1" "7" "van" "nincs megadva" "házközponti egyedi méréssel, padlófutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4.05 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "41.14" "64" "3" " 19. kerület, Lehel utca 6. " NA "nincs megadva" "2020" "nincs megadva" "nincs megadva" "1" "7" "van" "nincs megadva" "házközponti egyedi méréssel, padlófutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "8.1 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"6" "69" "91" "2" " 3. kerület, Rómaifürdo " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "29 m²" "igen" "nincs megadva" "önálló garázs - megvásárolható" "10 M Ft" "45 000 Ft/hó" NA
"7" "250" "89" "3" " 1. kerület, Orom utca " NA "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "nincs" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "41 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"8" "33.5" "51" "2" " 14. kerület, Nagyzugló – Egressy téri lakótelep " NA "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "46" "99" "3" " 17. kerület, Hegyalatti utca " NA "újszeru" "2011" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA
"10" "26.5" "28" "1" " 13. kerület, Újlipótváros " NA "felújított" NA "nincs megadva" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"11" "24.25" "45" "1" " 18. kerület, Dolgozó út " NA "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "igen" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"12" "63.5" "73" "2" " 22. kerület, Budafok " NA "újszeru" "2019" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nem" "külön és egyben is" "nincs megadva" "panorámás" "27 m²" "nem" "nem tetotéri" "udvari beálló - megvásárolható" "2 M Ft" NA NA
"13" "94.9" "108" "3" " 7. kerület, Damjanich utca 36. " NA "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön és egyben is" "nyugat" "udvari" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "45 000 Ft/hó" NA
"14" "28.9" "46" "1" " 14. kerület, Cserto utca " NA "nincs megadva" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "részt vett"
"15" "29.99" "68" "2" " 10. kerület, Kozma utca " NA "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "északnyugat" "utcai" "3 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"16" "75.2" "67" "3" " 3. kerület, Békásmegyeri lakótelep Duna felol " NA "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "20 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"17" "26.9" "46" "1" " 14. kerület, Kerepesi út " NA "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva"
"18" "23.9" "39" "1" " 8. kerület, Józsefváros – Népszínháznegyed " NA "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
