"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "panelprogram"
"1" "59.5" "71" "2" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"2" "29.9" "50" "2" " 11. kerület, Kelenföld " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "3 m²" NA NA
"3" "38.9" "26" "1" " 6. kerület, Belso-Terézváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "38.9" "63" "2" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "nincs megadva" "panorámás" "nem" NA "utca, közterület" "7 m²" NA NA
"5" "25.49" "31" "1" " 14. kerület, Törökor " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"6" "59.9" "56" "1" " 1. kerület, Víziváros – Váralja " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "32.9" "37" "1" " 14. kerület, Nagyzugló – Kerepesi úti lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"8" "32.9" "37" "1" " 14. kerület, Alsórákos " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"9" "37.9" "54" "2" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"10" "46.18" "66" "3" " 4. kerület, Újpest " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "2.86 m²" NA NA
"11" "31" "55" "2" " 18. kerület, Lakatos-lakótelep " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nem" "nincs megadva" "nincs megadva" "3 m²" "van" NA
"12" "33.9" "30" "1" " 9. kerület, Belso-Ferencváros " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "elektromos" "nem" "nincs megadva" "dél" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"13" "28.7" "46" "1" " 14. kerület, Gvadányi utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "dél" "panorámás" "nem" "nem tetotéri" "utca, közterület" NA NA "nincs megadva"
"14" "72.9" "46" "1" " 7. kerület, Belso-Erzsébetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1 m²" NA NA
"15" "52.9" "48" "1" " 1. kerület, Gellérthegy " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"16" "31.5" "56" "2" " 14. kerület, Rákosfalva " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "nincs megadva" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA "nincs megadva"
"17" "28.4" "66" "3" " 20. kerület, Erzsébetfalva – Pesterzsébeti lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" "8 m²" "nincs" "nem vett részt"
"18" "37.4" "43" "2" " 14. kerület, Kiszugló " "újszeru" "2019" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "nincs megadva" "délnyugat" "udvari" "nem" "nem tetotéri" "önálló garázs - bérelheto" "7 m²" NA NA
"19" "27.3" "67" "2" " 23. kerület, Soroksár-Újtelep " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" NA "nincs" "nem vett részt"
"20" "32.9" "40" "1" " 14. kerület, Alsórákos " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "nincs megadva" "nincs megadva" "udvari" "igen" "nem tetotéri" "utca, közterület" NA NA NA
