"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "legkondicionalo" "parkolohely_ara" "lakopark_neve"
"1" "26.9" "32" "1" " 7. kerület, Középso-Erzsébetváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "16 000 Ft/hó" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"2" "95" "99" "4" " 13. kerület, Vizafogó – Marinapart " "újszeru" "2011" "duplakomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön és egyben is" "dél" "udvari" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "83.5 m²" NA NA NA NA
"3" "73.5" "64" "3" " 13. kerület, Sólyatér utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "18 m²" NA NA NA NA
"4" "29.9" "52" "2" " 14. kerület, Nagyzugló " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"5" "27.5" "52" "2" " 3. kerület, Szolo utca " "felújítandó" NA "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA "részt vett" NA NA NA
"6" "48.5" "59" "2" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"7" "30.2" "72" "3" " 21. kerület, Kiss János altábornagy utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" NA "nem vett részt" "van" NA NA
"8" "22.9" "39" "1" " 14. kerület, Rákospatak utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs" NA NA
"9" "48.29" "48" "2" " 7. kerület, Százház utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "8 m²" NA "van" "4.5 M Ft" NA
"10" "63" "60" "3" " 15. kerület, Vasutaskert " "új építésu" "2020" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön és egyben is" "délkelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "52 m²" NA "van" "3.2 M Ft" "Vasutaskert"
"11" "23.9" "47" "2" " 15. kerület, Zsókavár utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "28 000 Ft/hó" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "részt vett" "nincs" NA NA
"12" "69.98" "49" "2" " 6. kerület, Hunyadi tér " "felújított" NA "duplakomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"13" "69.9" "80" "3" " 7. kerület, Nyár utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"14" "30.9" "69" "4" " 15. kerület, Erdokerülo utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "3 m²" "részt vett" NA NA NA
