"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "lakopark_neve" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "35.9" "53" "2" " 14. kerület, Rákosfalva " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "6 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"2" "121.3" "88" "3" " 1. kerület, Toldy 19 " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "megújuló energia" "van" "igen" "külön helyiségben" "délnyugat" "utcai" "19 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "Toldy 19" "4.5 M Ft" NA NA
"3" "38.9" "57" "2" " 13. kerület, Tomori köz " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "dél" "kertre nézo" "2.5 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"4" "43.9" "74" "3" " 13. kerület, Gyöngyösi utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs" "nem" "külön helyiségben" "dél" "panorámás" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "30 000 Ft/hó" "nem vett részt"
"5" "139.49" "100" "4" " 3. kerület, Erdoalja út 85. " "új építésu" "2019" "luxus" "AA+" "földszint" "4" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "egy helyiségben" "kelet" "kertre nézo" "26 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "5.44 M Ft" NA NA
"6" "51.5" "57" "2" " 11. kerület, Spanyolrét " "újszeru" "2019" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön és egyben is" "kelet" "kertre nézo" "11 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA "3.5 M Ft" NA NA
"7" "34.88" "52" "2" " 14. kerület, Wass Albert tér 10. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA "20 000 Ft/hó" NA
"8" "27.9" "53" "2" " 4. kerület, Erzsébet utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "nincs megadva" "délkelet" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA "nincs megadva"
"9" "27.9" "31" "1" " 8. kerület, Népszínház utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "elektromos" "nincs" "igen" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "5 000 Ft/hó" NA
"10" "84.9" "96" "3" " 11. kerület, Kökörcsin utca " "felújított" "1950 elott" "összkomfortos" "C" "1" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" "10 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
