"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "parkolohely_ara" "lakopark_neve"
"1" "50.9" "72" "3" " 9. kerület, Lenhossék utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "14 000 Ft/hó" "nem" "külön és egyben is" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "51.9" "70" "3" " 9. kerület, Lenhossék utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "13 000 Ft/hó" "nem" "külön és egyben is" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"3" "219.9" "200" "4" " 3. kerület, Apátkút utca " "új építésu" "2020" "luxus" "AA+" "földszint" "3" "nincs" "nincs megadva" "hoszivattyú" NA NA "nincs megadva" "egy helyiségben" "délkelet" "panorámás" "igen" "nincs megadva" "teremgarázs hely - benne van az árban" "17 m²" NA NA NA
"4" "31.9" "51" "2" " 3. kerület, Vízimolnár utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "3 m²" "nincs megadva" NA NA
"5" "43.9" "66" "2" " 8. kerület, Kenyérmezo utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "28.5" "32" "1" " 4. kerület, Újpest " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nem" "egy helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "udvari beálló - megvásárolható" "2.5 m²" NA "2.5 M Ft" NA
"7" "43.9" "72" "3" " 4. kerület, Újpest " "új építésu" "2019" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" NA "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "tetotéri" "udvari beálló - megvásárolható" "6.75 m²" NA "2.5 M Ft" NA
"8" "69.9" "78" "3" " 7. kerület, Kertész utca 20. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "24 000 Ft/hó" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"9" "45" "40" "2" " 9. kerület, Ráday utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "elektromos" "van" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"10" "48.81" "47" "1" " 9. kerület, BB Házak " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" NA "igen" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "38.64 m²" NA "5 M Ft" "BB Házak"
"11" "64.8" "81" "2" " 13. kerület, Pannónia utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA NA "nem" "nincs megadva" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "4 m²" NA NA NA
"12" "38" "45" "2" " 8. kerület, Józsefváros – Csarnoknegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"13" "46.5" "46" "1" " 6. kerület, Zichy Jeno utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m vagy magasabb" "elektromos" NA NA "nincs megadva" "egy helyiségben" "kelet" "utcai" "nem" "nincs megadva" "nincs megadva" NA NA NA NA
"14" "29.9" "50" "2" " 3. kerület, Búza utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés" NA NA "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" "4 m²" "nincs megadva" NA NA
